Stationsnummer: 2009
Stationsname: Porte du Scex
DBLH-Nr: 00032
Gewässer: Rhône
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-01 00:00:00;;82.533;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-02 00:00:00;;117.734;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-03 00:00:00;;144.834;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-04 00:00:00;;148.472;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-05 00:00:00;;112.333;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-06 00:00:00;;76.018;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-07 00:00:00;;125.353;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-08 00:00:00;;152.640;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-09 00:00:00;;158.108;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-10 00:00:00;;159.991;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-11 00:00:00;;161.213;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-12 00:00:00;;112.276;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-13 00:00:00;;73.166;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-14 00:00:00;;129.475;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-15 00:00:00;;163.272;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-16 00:00:00;;155.354;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-17 00:00:00;;156.256;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-18 00:00:00;;155.990;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-19 00:00:00;;118.683;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-20 00:00:00;;71.850;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-21 00:00:00;;122.058;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-22 00:00:00;;154.543;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-23 00:00:00;;158.067;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-24 00:00:00;;174.288;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-25 00:00:00;;186.341;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-26 00:00:00;;119.138;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-27 00:00:00;;75.439;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-28 00:00:00;;128.581;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-29 00:00:00;;162.694;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-30 00:00:00;;157.845;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-01-31 00:00:00;;156.412;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-01 00:00:00;;157.548;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-02 00:00:00;;112.829;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-03 00:00:00;;77.214;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-04 00:00:00;;153.292;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-05 00:00:00;;280.919;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-06 00:00:00;;250.831;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-07 00:00:00;;209.809;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-08 00:00:00;;194.943;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-09 00:00:00;;141.677;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-10 00:00:00;;99.227;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-11 00:00:00;;152.566;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-12 00:00:00;;174.982;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-13 00:00:00;;172.073;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-14 00:00:00;;172.191;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-15 00:00:00;;159.838;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-16 00:00:00;;110.868;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-17 00:00:00;;83.003;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-18 00:00:00;;128.117;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-19 00:00:00;;155.043;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-20 00:00:00;;152.657;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-21 00:00:00;;157.800;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-22 00:00:00;;158.813;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-23 00:00:00;;114.009;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-24 00:00:00;;78.309;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-25 00:00:00;;126.722;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-26 00:00:00;;152.227;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-27 00:00:00;;156.564;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-28 00:00:00;;155.420;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-02-29 00:00:00;;152.605;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-01 00:00:00;;114.824;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-02 00:00:00;;78.867;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-03 00:00:00;;131.759;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-04 00:00:00;;154.673;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-05 00:00:00;;156.985;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-06 00:00:00;;161.000;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-07 00:00:00;;156.968;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-08 00:00:00;;130.709;Freigegeben, validierte Daten
Porte du Scex;2009;Abfluss;Tagesmittel;m3/s;Rhône;1980-03-09 00:00:00;;79.526;Freigegeben, validierte Daten
