Stationsnummer: 2016
Stationsname: Brugg
DBLH-Nr: 00047
Gewässer: Aare
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-01 00:00:00;;334.540;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-02 00:00:00;;305.964;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-03 00:00:00;;278.943;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-04 00:00:00;;295.287;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-05 00:00:00;;334.928;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-06 00:00:00;;359.468;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-07 00:00:00;;392.826;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-08 00:00:00;;364.190;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-09 00:00:00;;343.146;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-10 00:00:00;;332.882;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-11 00:00:00;;319.219;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-12 00:00:00;;292.278;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-13 00:00:00;;262.214;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-14 00:00:00;;256.421;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-15 00:00:00;;259.258;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-16 00:00:00;;254.520;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-17 00:00:00;;252.844;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-18 00:00:00;;251.758;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-19 00:00:00;;248.821;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-20 00:00:00;;240.904;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-21 00:00:00;;237.463;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-22 00:00:00;;269.172;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-23 00:00:00;;314.140;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-24 00:00:00;;484.697;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-25 00:00:00;;741.354;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-26 00:00:00;;596.156;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-27 00:00:00;;530.737;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-28 00:00:00;;500.363;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-29 00:00:00;;471.427;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-30 00:00:00;;420.732;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-01-31 00:00:00;;457.372;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-02-01 00:00:00;;577.214;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-02-02 00:00:00;;547.176;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-02-03 00:00:00;;584.422;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-02-04 00:00:00;;844.337;Freigegeben, validierte Daten
Brugg;2016;Abfluss;Tagesmittel;m3/s;Aare;1980-02-05 00:00:00;;1054.027;Freigegeben, validierte Daten
