Stationsnummer: 2018
Stationsname: Mellingen
DBLH-Nr: 00051
Gewässer: Reuss
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-01 00:00:00;;80.420;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-02 00:00:00;;78.304;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-03 00:00:00;;77.674;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-04 00:00:00;;77.905;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-05 00:00:00;;83.791;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-06 00:00:00;;96.038;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-07 00:00:00;;94.424;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-08 00:00:00;;91.685;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-09 00:00:00;;87.095;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-10 00:00:00;;84.353;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-11 00:00:00;;82.176;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-12 00:00:00;;79.542;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-13 00:00:00;;77.017;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-14 00:00:00;;75.901;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-15 00:00:00;;75.171;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-16 00:00:00;;74.319;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-17 00:00:00;;72.172;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-18 00:00:00;;71.662;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-19 00:00:00;;70.839;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-20 00:00:00;;69.715;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-21 00:00:00;;70.286;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-22 00:00:00;;75.070;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-23 00:00:00;;98.356;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-24 00:00:00;;121.035;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-25 00:00:00;;252.752;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-26 00:00:00;;150.342;Freigegeben, validierte Daten
Mellingen;2018;Abfluss;Tagesmittel;m3/s;Reuss;1980-01-27 00:00:00;;126.636;Freigegeben, validierte Daten
