Stationsnummer: 2029
Stationsname: Brügg, Aegerten
DBLH-Nr: 00885
Gewässer: Aare
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-01 00:00:00;;239.064;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-02 00:00:00;;208.604;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-03 00:00:00;;200.245;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-04 00:00:00;;211.140;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-05 00:00:00;;222.576;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-06 00:00:00;;224.977;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-07 00:00:00;;238.675;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-08 00:00:00;;239.021;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-09 00:00:00;;234.394;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-10 00:00:00;;232.237;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-11 00:00:00;;225.684;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-12 00:00:00;;198.307;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-13 00:00:00;;177.616;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-14 00:00:00;;176.572;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-15 00:00:00;;179.661;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-16 00:00:00;;179.076;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-17 00:00:00;;177.581;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-18 00:00:00;;177.920;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-19 00:00:00;;178.061;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-20 00:00:00;;173.720;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-21 00:00:00;;172.636;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-22 00:00:00;;181.301;Freigegeben, validierte Daten
Brügg, Aegerten;2029;Abfluss;Tagesmittel;m3/s;Aare;1980-01-23 00:00:00;;201.466;Freigegeben, validierte Daten
