Stationsnummer: 2044
Stationsname: Andelfingen
DBLH-Nr: 00136
Gewässer: Thur
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-01 00:00:00;;31.356;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-02 00:00:00;;29.065;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-03 00:00:00;;28.461;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-04 00:00:00;;27.699;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-05 00:00:00;;38.391;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-06 00:00:00;;88.758;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-07 00:00:00;;69.534;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-08 00:00:00;;56.491;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-09 00:00:00;;49.320;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-10 00:00:00;;42.079;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-11 00:00:00;;38.488;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-12 00:00:00;;35.374;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-13 00:00:00;;30.280;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-14 00:00:00;;28.396;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-15 00:00:00;;26.498;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-16 00:00:00;;26.696;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-17 00:00:00;;24.278;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-18 00:00:00;;23.846;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-19 00:00:00;;22.707;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-20 00:00:00;;19.713;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-21 00:00:00;;19.776;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-22 00:00:00;;24.535;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-23 00:00:00;;53.293;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-24 00:00:00;;109.404;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-25 00:00:00;;241.262;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-26 00:00:00;;108.218;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-27 00:00:00;;71.216;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-28 00:00:00;;55.722;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-29 00:00:00;;47.698;Freigegeben, validierte Daten
Andelfingen;2044;Abfluss;Tagesmittel;m3/s;Thur;1980-01-30 00:00:00;;43.438;Freigegeben, validierte Daten
