Stationsnummer: 2084
Stationsname: Ingenbohl
DBLH-Nr: 00284
Gewässer: Muota
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-01 00:00:00;;6.214;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-02 00:00:00;;5.955;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-03 00:00:00;;6.060;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-04 00:00:00;;5.625;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-05 00:00:00;;6.125;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-06 00:00:00;;6.936;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-07 00:00:00;;7.202;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-08 00:00:00;;6.709;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-09 00:00:00;;6.119;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-10 00:00:00;;5.837;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-11 00:00:00;;5.410;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-12 00:00:00;;3.932;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-13 00:00:00;;3.870;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-14 00:00:00;;5.047;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-15 00:00:00;;5.076;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-16 00:00:00;;5.013;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-17 00:00:00;;4.839;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-18 00:00:00;;4.687;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-19 00:00:00;;2.903;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-20 00:00:00;;2.847;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-21 00:00:00;;3.960;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-22 00:00:00;;3.880;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-23 00:00:00;;4.325;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-24 00:00:00;;5.383;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-25 00:00:00;;10.732;Freigegeben, validierte Daten
Ingenbohl;2084;Abfluss;Tagesmittel;m3/s;Muota;1980-01-26 00:00:00;;6.880;Freigegeben, validierte Daten
