Stationsnummer: 2104
Stationsname: Weesen, Biäsche
DBLH-Nr: 00377
Gewässer: Linth
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-01 00:00:00;;29.823;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-02 00:00:00;;28.693;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-03 00:00:00;;30.819;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-04 00:00:00;;33.473;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-05 00:00:00;;33.909;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-06 00:00:00;;32.156;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-07 00:00:00;;31.992;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-08 00:00:00;;33.322;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-09 00:00:00;;34.058;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-10 00:00:00;;35.026;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-11 00:00:00;;36.106;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-12 00:00:00;;35.864;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-13 00:00:00;;33.057;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-14 00:00:00;;31.662;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-15 00:00:00;;33.283;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-16 00:00:00;;34.592;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-17 00:00:00;;35.734;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-18 00:00:00;;36.540;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-19 00:00:00;;36.240;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-20 00:00:00;;33.436;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-21 00:00:00;;31.926;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-22 00:00:00;;32.984;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-23 00:00:00;;34.291;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-24 00:00:00;;34.827;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-25 00:00:00;;36.867;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-26 00:00:00;;36.149;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-27 00:00:00;;33.019;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-28 00:00:00;;31.071;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-29 00:00:00;;31.096;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-30 00:00:00;;31.356;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-01-31 00:00:00;;31.234;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-01 00:00:00;;31.594;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-02 00:00:00;;30.812;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-03 00:00:00;;29.073;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-04 00:00:00;;30.816;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-05 00:00:00;;40.106;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-06 00:00:00;;49.238;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-07 00:00:00;;52.290;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-08 00:00:00;;53.038;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-09 00:00:00;;51.700;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-10 00:00:00;;49.488;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-11 00:00:00;;48.645;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-12 00:00:00;;49.767;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-13 00:00:00;;49.637;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-14 00:00:00;;49.048;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-15 00:00:00;;47.659;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-16 00:00:00;;44.999;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-17 00:00:00;;42.019;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-18 00:00:00;;39.951;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-19 00:00:00;;38.615;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-20 00:00:00;;36.687;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-21 00:00:00;;35.319;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-22 00:00:00;;34.815;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-23 00:00:00;;34.602;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-24 00:00:00;;32.179;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-25 00:00:00;;30.665;Freigegeben, validierte Daten
Weesen, Biäsche;2104;Abfluss;Tagesmittel;m3/s;Linth;1980-02-26 00:00:00;;30.217;Freigegeben, validierte Daten
