Stationsnummer: 2112
Stationsname: Appenzell
DBLH-Nr: 00886
Gewässer: Sitter
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-01 00:00:00;;1.182;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-02 00:00:00;;1.175;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-03 00:00:00;;1.207;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-04 00:00:00;;1.205;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-05 00:00:00;;3.824;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-06 00:00:00;;2.616;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-07 00:00:00;;1.894;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-08 00:00:00;;1.627;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-09 00:00:00;;1.478;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-10 00:00:00;;1.411;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-11 00:00:00;;1.338;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-12 00:00:00;;1.149;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-13 00:00:00;;1.108;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-14 00:00:00;;1.142;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-15 00:00:00;;1.209;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-16 00:00:00;;1.092;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-17 00:00:00;;1.034;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-18 00:00:00;;0.967;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-19 00:00:00;;0.880;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-20 00:00:00;;0.963;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-21 00:00:00;;0.982;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-22 00:00:00;;0.965;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-23 00:00:00;;0.985;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-24 00:00:00;;4.109;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-25 00:00:00;;4.921;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-26 00:00:00;;2.162;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-27 00:00:00;;1.607;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-28 00:00:00;;1.359;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-29 00:00:00;;1.499;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-30 00:00:00;;1.370;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-01-31 00:00:00;;2.541;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-01 00:00:00;;4.123;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-02 00:00:00;;2.106;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-03 00:00:00;;2.081;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-04 00:00:00;;13.568;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-05 00:00:00;;34.872;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-06 00:00:00;;10.388;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-07 00:00:00;;5.610;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-08 00:00:00;;4.000;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-09 00:00:00;;3.716;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-10 00:00:00;;4.080;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-11 00:00:00;;5.389;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-12 00:00:00;;3.326;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-13 00:00:00;;2.389;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-14 00:00:00;;2.046;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-15 00:00:00;;1.895;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-16 00:00:00;;1.772;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-17 00:00:00;;1.957;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-18 00:00:00;;1.814;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-19 00:00:00;;1.568;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-20 00:00:00;;1.449;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-21 00:00:00;;1.333;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-22 00:00:00;;1.255;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-23 00:00:00;;1.402;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-24 00:00:00;;1.489;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-25 00:00:00;;1.663;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-26 00:00:00;;1.558;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-27 00:00:00;;1.539;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-28 00:00:00;;1.373;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-02-29 00:00:00;;1.221;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-03-01 00:00:00;;0.973;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-03-02 00:00:00;;1.133;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-03-03 00:00:00;;1.208;Freigegeben, validierte Daten
Appenzell;2112;Abfluss;Tagesmittel;m3/s;Sitter;1980-03-04 00:00:00;;0.908;Freigegeben, validierte Daten
