Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-01 00:00:00;;63.918;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-02 00:00:00;;63.413;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-03 00:00:00;;67.846;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-04 00:00:00;;77.644;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-05 00:00:00;;96.951;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-06 00:00:00;;96.163;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-07 00:00:00;;94.694;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-08 00:00:00;;87.037;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-09 00:00:00;;84.896;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-10 00:00:00;;83.628;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-11 00:00:00;;82.001;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-12 00:00:00;;74.684;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-13 00:00:00;;69.612;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-14 00:00:00;;66.933;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-15 00:00:00;;68.187;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-16 00:00:00;;70.391;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-17 00:00:00;;69.910;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-18 00:00:00;;73.518;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-19 00:00:00;;71.185;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-20 00:00:00;;70.775;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-21 00:00:00;;73.697;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-22 00:00:00;;77.552;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-23 00:00:00;;83.442;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-24 00:00:00;;102.993;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-25 00:00:00;;153.770;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-26 00:00:00;;128.378;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-27 00:00:00;;116.994;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-28 00:00:00;;100.278;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-29 00:00:00;;82.260;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-30 00:00:00;;79.201;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-01-31 00:00:00;;79.640;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-01 00:00:00;;83.991;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-02 00:00:00;;75.872;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-03 00:00:00;;77.105;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-04 00:00:00;;111.514;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-05 00:00:00;;181.970;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-06 00:00:00;;178.088;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-07 00:00:00;;170.566;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-08 00:00:00;;160.710;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-09 00:00:00;;142.219;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-10 00:00:00;;127.310;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-11 00:00:00;;128.951;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-12 00:00:00;;118.684;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-13 00:00:00;;109.959;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-14 00:00:00;;100.600;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-15 00:00:00;;90.777;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-16 00:00:00;;87.124;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-17 00:00:00;;88.743;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-18 00:00:00;;86.088;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-19 00:00:00;;78.416;Freigegeben, validierte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;1980-02-20 00:00:00;;72.398;Freigegeben, validierte Daten
