Stationsnummer: 2161
Stationsname: Blatten bei Naters
DBLH-Nr: 00865
Gewässer: Massa
Exportperiode: 1980-01-01-2004-01-01 2004-01-03-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-01 00:00:00;;0.636;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-02 00:00:00;;0.606;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-03 00:00:00;;0.576;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-04 00:00:00;;0.554;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-05 00:00:00;;0.561;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-06 00:00:00;;0.535;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-07 00:00:00;;0.526;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-08 00:00:00;;0.510;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-09 00:00:00;;0.507;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-10 00:00:00;;0.494;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-11 00:00:00;;0.490;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-12 00:00:00;;0.484;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-13 00:00:00;;0.479;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-14 00:00:00;;0.470;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-15 00:00:00;;0.462;Freigegeben, validierte Daten
Blatten bei Naters;2161;Abfluss;Tagesmittel;m3/s;Massa;1980-01-16 00:00:00;;0.456;Freigegeben, validierte Daten
