Stationsnummer: 2167
Stationsname: Ponte Tresa, Rocchetta
DBLH-Nr: 00656
Gewässer: Tresa
Exportperiode: 1980-01-01-2018-01-01 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-01 00:00:00;;22.435;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-02 00:00:00;;22.265;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-03 00:00:00;;18.969;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-04 00:00:00;;17.026;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-05 00:00:00;;16.418;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-06 00:00:00;;16.417;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-07 00:00:00;;16.320;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-08 00:00:00;;14.265;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-09 00:00:00;;13.273;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-10 00:00:00;;12.707;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-11 00:00:00;;11.749;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-12 00:00:00;;12.078;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-13 00:00:00;;12.330;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-14 00:00:00;;12.208;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-15 00:00:00;;12.139;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-16 00:00:00;;12.111;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-17 00:00:00;;12.410;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-18 00:00:00;;12.372;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-19 00:00:00;;12.451;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-20 00:00:00;;12.741;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-21 00:00:00;;12.697;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-22 00:00:00;;14.253;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-23 00:00:00;;24.720;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-24 00:00:00;;24.084;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-25 00:00:00;;19.439;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-26 00:00:00;;15.438;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-27 00:00:00;;13.829;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-28 00:00:00;;13.347;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-29 00:00:00;;10.780;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-30 00:00:00;;9.129;Freigegeben, validierte Daten
Ponte Tresa, Rocchetta;2167;Abfluss;Tagesmittel;m3/s;Tresa;1980-01-31 00:00:00;;9.737;Freigegeben, validierte Daten
