Stationsnummer: 2170
Stationsname: Genève, Bout du Monde
DBLH-Nr: 00914
Gewässer: Arve
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-01 00:00:00;;38.728;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-02 00:00:00;;37.674;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-03 00:00:00;;35.471;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-04 00:00:00;;34.689;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-05 00:00:00;;54.261;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-06 00:00:00;;57.183;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-07 00:00:00;;49.251;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-08 00:00:00;;43.995;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-09 00:00:00;;39.953;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-10 00:00:00;;37.962;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-11 00:00:00;;36.060;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-12 00:00:00;;33.555;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-13 00:00:00;;31.223;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-14 00:00:00;;30.897;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-15 00:00:00;;30.453;Freigegeben, validierte Daten
Genève, Bout du Monde;2170;Abfluss;Tagesmittel;m3/s;Arve;1980-01-16 00:00:00;;29.265;Freigegeben, validierte Daten
