Stationsnummer: 2243
Stationsname: Baden, Limmatpromenade
DBLH-Nr: 00764
Gewässer: Limmat
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-01 00:00:00;;65.407;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-02 00:00:00;;64.702;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-03 00:00:00;;64.824;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-04 00:00:00;;70.387;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-05 00:00:00;;83.324;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-06 00:00:00;;99.039;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-07 00:00:00;;109.486;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-08 00:00:00;;115.965;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-09 00:00:00;;105.294;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-10 00:00:00;;91.720;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-11 00:00:00;;90.420;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-12 00:00:00;;86.670;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-13 00:00:00;;80.907;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-14 00:00:00;;78.222;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-15 00:00:00;;78.506;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-16 00:00:00;;75.633;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-17 00:00:00;;75.480;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-18 00:00:00;;76.092;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-19 00:00:00;;75.537;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-20 00:00:00;;72.302;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-21 00:00:00;;67.897;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-22 00:00:00;;83.889;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-23 00:00:00;;100.138;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-24 00:00:00;;135.491;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-25 00:00:00;;172.175;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-26 00:00:00;;154.396;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-27 00:00:00;;135.615;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-28 00:00:00;;110.558;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-29 00:00:00;;113.973;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-30 00:00:00;;106.208;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-01-31 00:00:00;;99.177;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-01 00:00:00;;110.303;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-02 00:00:00;;102.771;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-03 00:00:00;;107.792;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-04 00:00:00;;160.090;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-05 00:00:00;;261.530;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-06 00:00:00;;233.697;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-07 00:00:00;;211.153;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-08 00:00:00;;188.689;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-09 00:00:00;;160.208;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-10 00:00:00;;146.179;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-11 00:00:00;;145.118;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-12 00:00:00;;145.446;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-13 00:00:00;;140.653;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-14 00:00:00;;126.756;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-15 00:00:00;;117.530;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-16 00:00:00;;106.268;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-17 00:00:00;;100.355;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-18 00:00:00;;95.819;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-19 00:00:00;;95.623;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-20 00:00:00;;93.799;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-21 00:00:00;;93.276;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-22 00:00:00;;93.088;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-23 00:00:00;;92.873;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-24 00:00:00;;79.097;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-25 00:00:00;;75.074;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-26 00:00:00;;78.148;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-27 00:00:00;;79.834;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-28 00:00:00;;75.650;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-02-29 00:00:00;;73.964;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-01 00:00:00;;73.576;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-02 00:00:00;;68.533;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-03 00:00:00;;62.112;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-04 00:00:00;;63.996;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-05 00:00:00;;64.564;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-06 00:00:00;;64.877;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-07 00:00:00;;66.719;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-08 00:00:00;;67.412;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-09 00:00:00;;63.366;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-10 00:00:00;;58.403;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-11 00:00:00;;65.376;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-12 00:00:00;;72.052;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-13 00:00:00;;71.461;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-14 00:00:00;;70.548;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-15 00:00:00;;64.426;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-16 00:00:00;;60.952;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-17 00:00:00;;59.645;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-18 00:00:00;;60.068;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-19 00:00:00;;61.384;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-20 00:00:00;;62.111;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-21 00:00:00;;68.469;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-22 00:00:00;;70.639;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-23 00:00:00;;61.590;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-24 00:00:00;;67.051;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-25 00:00:00;;67.090;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-26 00:00:00;;68.870;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-27 00:00:00;;90.005;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-28 00:00:00;;96.048;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-29 00:00:00;;94.464;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-30 00:00:00;;87.734;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-03-31 00:00:00;;89.576;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-01 00:00:00;;150.102;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-02 00:00:00;;163.759;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-03 00:00:00;;154.235;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-04 00:00:00;;155.176;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-05 00:00:00;;149.893;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-06 00:00:00;;120.991;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-07 00:00:00;;104.146;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-08 00:00:00;;104.599;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-09 00:00:00;;107.399;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-10 00:00:00;;109.617;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-11 00:00:00;;104.050;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-12 00:00:00;;100.575;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Abfluss;Tagesmittel;m3/s;Limmat;1980-04-13 00:00:00;;97.143;Freigegeben, validierte Daten
