Stationsnummer: 2265
Stationsname: Tarasp
DBLH-Nr: 00785
Gewässer: Inn
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-01 00:00:00;;11.560;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-02 00:00:00;;11.708;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-03 00:00:00;;12.207;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-04 00:00:00;;12.276;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-05 00:00:00;;12.257;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-06 00:00:00;;12.431;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-07 00:00:00;;11.189;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-08 00:00:00;;11.136;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-09 00:00:00;;11.144;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-10 00:00:00;;11.151;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-11 00:00:00;;11.158;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-12 00:00:00;;11.165;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-13 00:00:00;;11.172;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-14 00:00:00;;11.180;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-15 00:00:00;;11.187;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-16 00:00:00;;11.194;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-17 00:00:00;;11.963;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-18 00:00:00;;14.282;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-19 00:00:00;;15.457;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-20 00:00:00;;17.607;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-21 00:00:00;;19.189;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-22 00:00:00;;17.324;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-23 00:00:00;;15.407;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-24 00:00:00;;12.380;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-25 00:00:00;;10.566;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-26 00:00:00;;9.780;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-27 00:00:00;;10.474;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-28 00:00:00;;9.339;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-29 00:00:00;;12.897;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-30 00:00:00;;12.757;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-01-31 00:00:00;;11.406;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-01 00:00:00;;9.970;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-02 00:00:00;;8.580;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-03 00:00:00;;8.688;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-04 00:00:00;;6.055;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-05 00:00:00;;5.577;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-06 00:00:00;;5.500;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-07 00:00:00;;5.210;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-08 00:00:00;;4.990;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-09 00:00:00;;4.875;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-10 00:00:00;;4.916;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-11 00:00:00;;4.921;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-12 00:00:00;;4.881;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-13 00:00:00;;4.865;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-14 00:00:00;;4.912;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-15 00:00:00;;4.884;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-16 00:00:00;;4.944;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-17 00:00:00;;4.928;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-18 00:00:00;;4.886;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-19 00:00:00;;4.734;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-20 00:00:00;;5.094;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-21 00:00:00;;5.853;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-22 00:00:00;;7.691;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-23 00:00:00;;8.277;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-24 00:00:00;;6.174;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-25 00:00:00;;6.001;Freigegeben, validierte Daten
Tarasp;2265;Abfluss;Tagesmittel;m3/s;Inn;1980-02-26 00:00:00;;5.894;Freigegeben, validierte Daten
