Stationsnummer: 2269
Stationsname: Blatten
DBLH-Nr: 00793
Gewässer: Lonza
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-01 00:00:00;;0.808;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-02 00:00:00;;0.790;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-03 00:00:00;;0.769;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-04 00:00:00;;0.779;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-05 00:00:00;;0.848;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-06 00:00:00;;0.801;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-07 00:00:00;;0.792;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-08 00:00:00;;0.800;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-09 00:00:00;;0.796;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-10 00:00:00;;0.795;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-11 00:00:00;;0.784;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-12 00:00:00;;0.744;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-13 00:00:00;;0.729;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-14 00:00:00;;0.721;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-15 00:00:00;;0.700;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-16 00:00:00;;0.692;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-17 00:00:00;;0.689;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-18 00:00:00;;0.681;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-19 00:00:00;;0.686;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-20 00:00:00;;0.670;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-21 00:00:00;;0.667;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-22 00:00:00;;0.656;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-23 00:00:00;;0.589;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1980-01-24 00:00:00;;0.579;Freigegeben, validierte Daten
