Stationsnummer: 2351
Stationsname: Visp
DBLH-Nr: 00152
Gewässer: Vispa
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-01 00:00:00;;5.455;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-02 00:00:00;;15.184;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-03 00:00:00;;13.832;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-04 00:00:00;;15.483;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-05 00:00:00;;7.528;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-06 00:00:00;;5.336;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-07 00:00:00;;14.651;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-08 00:00:00;;14.555;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-09 00:00:00;;16.192;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-10 00:00:00;;15.955;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-11 00:00:00;;16.186;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-12 00:00:00;;6.192;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-13 00:00:00;;5.040;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-14 00:00:00;;17.023;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-15 00:00:00;;17.027;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-16 00:00:00;;15.901;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-17 00:00:00;;14.990;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-18 00:00:00;;15.688;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-19 00:00:00;;6.193;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-20 00:00:00;;4.631;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-21 00:00:00;;15.208;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-22 00:00:00;;15.713;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-23 00:00:00;;15.305;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-24 00:00:00;;16.081;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-25 00:00:00;;11.029;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-26 00:00:00;;5.533;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-27 00:00:00;;4.838;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-28 00:00:00;;13.833;Freigegeben, validierte Daten
Visp;2351;Abfluss;Tagesmittel;m3/s;Vispa;1980-01-29 00:00:00;;13.514;Freigegeben, validierte Daten
