Stationsnummer: 2410
Stationsname: Ruggell
DBLH-Nr: 00929
Gewässer: Liechtensteiner Binnenkanal
Exportperiode: 1980-01-01-2018-01-01 2019-01-01-2020-01-01
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-01 00:00:00;;3.217;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-02 00:00:00;;3.213;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-03 00:00:00;;3.417;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-04 00:00:00;;3.665;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-05 00:00:00;;3.567;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-06 00:00:00;;3.050;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-07 00:00:00;;3.450;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-08 00:00:00;;3.536;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-09 00:00:00;;3.514;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-10 00:00:00;;3.481;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-11 00:00:00;;3.445;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-12 00:00:00;;3.263;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-13 00:00:00;;2.822;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-14 00:00:00;;3.173;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-15 00:00:00;;3.495;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-16 00:00:00;;3.510;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-17 00:00:00;;3.485;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-18 00:00:00;;3.379;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-19 00:00:00;;2.917;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-20 00:00:00;;2.526;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-21 00:00:00;;2.859;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-22 00:00:00;;3.045;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-23 00:00:00;;3.043;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-24 00:00:00;;3.592;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-25 00:00:00;;5.106;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-26 00:00:00;;4.036;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-27 00:00:00;;3.376;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-28 00:00:00;;3.412;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-29 00:00:00;;3.488;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-30 00:00:00;;3.549;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-01-31 00:00:00;;4.494;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-01 00:00:00;;5.191;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-02 00:00:00;;4.082;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-03 00:00:00;;3.706;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-04 00:00:00;;5.986;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-05 00:00:00;;10.264;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-06 00:00:00;;7.910;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-07 00:00:00;;6.186;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-08 00:00:00;;5.632;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-09 00:00:00;;4.674;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-10 00:00:00;;4.198;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-11 00:00:00;;4.530;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-12 00:00:00;;4.639;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-13 00:00:00;;4.487;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-14 00:00:00;;4.371;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-15 00:00:00;;4.234;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-16 00:00:00;;3.696;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-17 00:00:00;;3.411;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-18 00:00:00;;3.796;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-19 00:00:00;;3.808;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-20 00:00:00;;3.821;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-21 00:00:00;;3.820;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-22 00:00:00;;3.830;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-23 00:00:00;;3.373;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-24 00:00:00;;2.809;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-25 00:00:00;;3.215;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-26 00:00:00;;3.430;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-27 00:00:00;;3.394;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-28 00:00:00;;3.551;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-02-29 00:00:00;;3.643;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-03-01 00:00:00;;3.180;Freigegeben, validierte Daten
Ruggell;2410;Abfluss;Tagesmittel;m3/s;Liechtensteiner Binnenkanal;1980-03-02 00:00:00;;2.758;Freigegeben, validierte Daten
