Stationsnummer: 2414
Stationsname: Mosnang, Rietholz
DBLH-Nr: 00935
Gewässer: Rietholzbach
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: l/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-01 00:00:00;;58.970;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-02 00:00:00;;56.156;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-03 00:00:00;;67.859;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-04 00:00:00;;68.766;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-05 00:00:00;;404.915;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-06 00:00:00;;247.963;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-07 00:00:00;;159.301;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-08 00:00:00;;132.500;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-09 00:00:00;;113.453;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-10 00:00:00;;101.754;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-11 00:00:00;;96.429;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-12 00:00:00;;90.109;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-13 00:00:00;;82.978;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-14 00:00:00;;77.162;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-15 00:00:00;;73.298;Freigegeben, validierte Daten
Mosnang, Rietholz;2414;Abfluss;Tagesmittel;l/s;Rietholzbach;1980-01-16 00:00:00;;67.370;Freigegeben, validierte Daten
