Stationsnummer: 2457
Stationsname: Ringgenberg, Goldswil
DBLH-Nr: 00976
Gewässer: Aare
Exportperiode: 1980-01-01-2004-01-01 2015-01-01-2016-05-23 2020-12-10-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-01 00:00:00;;31.600;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-02 00:00:00;;30.100;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-03 00:00:00;;29.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-04 00:00:00;;34.200;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-05 00:00:00;;34.800;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-06 00:00:00;;36.000;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-07 00:00:00;;36.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-08 00:00:00;;39.200;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-09 00:00:00;;41.300;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-10 00:00:00;;39.300;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-11 00:00:00;;35.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-12 00:00:00;;31.800;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-13 00:00:00;;31.400;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-14 00:00:00;;31.400;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-15 00:00:00;;33.700;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-16 00:00:00;;37.000;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-17 00:00:00;;40.600;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-18 00:00:00;;41.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-19 00:00:00;;40.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-20 00:00:00;;38.500;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-21 00:00:00;;37.100;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-22 00:00:00;;37.300;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-23 00:00:00;;39.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-24 00:00:00;;42.200;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-25 00:00:00;;40.800;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-26 00:00:00;;39.200;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-27 00:00:00;;33.700;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-28 00:00:00;;31.100;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-29 00:00:00;;29.500;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-30 00:00:00;;30.400;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-01-31 00:00:00;;31.000;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-01 00:00:00;;30.200;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-02 00:00:00;;30.500;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-03 00:00:00;;31.500;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-04 00:00:00;;32.700;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-05 00:00:00;;38.200;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-06 00:00:00;;44.600;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-07 00:00:00;;48.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-08 00:00:00;;50.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-09 00:00:00;;50.500;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-10 00:00:00;;49.200;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-11 00:00:00;;46.500;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-12 00:00:00;;45.700;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-13 00:00:00;;46.000;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-14 00:00:00;;46.200;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-15 00:00:00;;44.300;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-16 00:00:00;;39.600;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-17 00:00:00;;40.400;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-18 00:00:00;;39.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-19 00:00:00;;39.100;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-20 00:00:00;;36.800;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-21 00:00:00;;31.900;Freigegeben, validierte Daten
Ringgenberg, Goldswil;2457;Abfluss;Tagesmittel;m3/s;Aare;1980-02-22 00:00:00;;29.900;Freigegeben, validierte Daten
