Stationsnummer: 2467
Stationsname: Gümmenen
DBLH-Nr: 01114
Gewässer: Saane
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-01 00:00:00;;8.534;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-02 00:00:00;;13.189;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-03 00:00:00;;17.951;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-04 00:00:00;;8.156;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-05 00:00:00;;44.451;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-06 00:00:00;;48.884;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-07 00:00:00;;42.363;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-08 00:00:00;;52.547;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-09 00:00:00;;65.862;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-10 00:00:00;;16.225;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-11 00:00:00;;16.537;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-12 00:00:00;;95.946;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-13 00:00:00;;156.271;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-14 00:00:00;;153.263;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-15 00:00:00;;99.151;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-16 00:00:00;;69.904;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-17 00:00:00;;33.267;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-18 00:00:00;;27.700;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-19 00:00:00;;71.160;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-20 00:00:00;;115.693;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-21 00:00:00;;127.524;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-22 00:00:00;;72.322;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-23 00:00:00;;70.851;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-24 00:00:00;;19.161;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-25 00:00:00;;14.087;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-26 00:00:00;;68.235;Freigegeben, validierte Daten
Gümmenen;2467;Abfluss;Tagesmittel;m3/s;Saane;2004-01-27 00:00:00;;71.454;Freigegeben, validierte Daten
