Stationsnummer: 2612
Stationsname: Lavertezzo
DBLH-Nr: 01255
Gewässer: Riale di Pincascia
Exportperiode: 1992-07-01-2018-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-01 00:00:00;;1.210;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-02 00:00:00;;1.149;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-03 00:00:00;;1.034;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-04 00:00:00;;4.557;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-05 00:00:00;;3.512;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-06 00:00:00;;2.807;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-07 00:00:00;;2.056;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-08 00:00:00;;1.983;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-09 00:00:00;;2.011;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-10 00:00:00;;1.615;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-11 00:00:00;;8.922;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-12 00:00:00;;3.675;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-13 00:00:00;;2.286;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-14 00:00:00;;1.715;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-15 00:00:00;;1.358;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-16 00:00:00;;1.180;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-17 00:00:00;;1.013;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-18 00:00:00;;0.883;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-19 00:00:00;;0.780;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-20 00:00:00;;0.716;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-21 00:00:00;;0.690;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-22 00:00:00;;0.596;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-23 00:00:00;;0.531;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-24 00:00:00;;0.482;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-25 00:00:00;;0.455;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-26 00:00:00;;0.445;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-27 00:00:00;;0.435;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-28 00:00:00;;0.415;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-29 00:00:00;;0.392;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-30 00:00:00;;0.370;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-07-31 00:00:00;;0.368;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-01 00:00:00;;0.350;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-02 00:00:00;;0.331;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-03 00:00:00;;0.282;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-04 00:00:00;;0.265;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-05 00:00:00;;0.266;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-06 00:00:00;;0.267;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-07 00:00:00;;0.257;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-08 00:00:00;;0.249;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-09 00:00:00;;0.241;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-10 00:00:00;;0.472;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-11 00:00:00;;0.438;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-12 00:00:00;;0.287;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-13 00:00:00;;0.269;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-14 00:00:00;;0.249;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-15 00:00:00;;0.251;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-16 00:00:00;;0.234;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-17 00:00:00;;0.233;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-18 00:00:00;;0.231;Freigegeben, validierte Daten
Lavertezzo;2612;Abfluss;Tagesmittel;m3/s;Riale di Pincascia;1992-08-19 00:00:00;;0.222;Freigegeben, validierte Daten
