Stationsnummer: 2613
Stationsname: Weil, Palmrainbrücke
DBLH-Nr: 01257
Gewässer: Rhein
Exportperiode: 1992-12-24-2018-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-01 00:00:00;;1343.971;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-02 00:00:00;;1212.770;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-03 00:00:00;;1105.456;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-04 00:00:00;;1062.211;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-05 00:00:00;;1020.630;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-06 00:00:00;;940.474;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-07 00:00:00;;915.256;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-08 00:00:00;;846.018;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-09 00:00:00;;837.186;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-10 00:00:00;;851.150;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-11 00:00:00;;1499.960;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-12 00:00:00;;1296.354;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-13 00:00:00;;1097.000;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-14 00:00:00;;1012.797;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-15 00:00:00;;933.342;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-16 00:00:00;;915.254;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-17 00:00:00;;864.315;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-18 00:00:00;;830.342;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-19 00:00:00;;875.008;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-20 00:00:00;;865.337;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-21 00:00:00;;841.297;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-22 00:00:00;;1127.328;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-23 00:00:00;;1707.348;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-24 00:00:00;;2063.570;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-25 00:00:00;;2356.023;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-26 00:00:00;;2865.335;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-27 00:00:00;;2069.938;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-28 00:00:00;;1891.321;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-29 00:00:00;;1815.944;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-30 00:00:00;;1865.724;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-01-31 00:00:00;;1942.477;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-01 00:00:00;;1727.653;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-02 00:00:00;;1618.734;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-03 00:00:00;;1532.577;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-04 00:00:00;;1466.763;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-05 00:00:00;;1381.648;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-06 00:00:00;;1331.782;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-07 00:00:00;;1310.676;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-08 00:00:00;;1239.093;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-09 00:00:00;;1312.318;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-10 00:00:00;;1299.559;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-11 00:00:00;;1238.928;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-12 00:00:00;;1212.335;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-13 00:00:00;;1177.510;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-14 00:00:00;;1234.745;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-15 00:00:00;;1251.746;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-16 00:00:00;;1496.829;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-17 00:00:00;;1531.915;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-18 00:00:00;;1715.997;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-19 00:00:00;;1632.197;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-20 00:00:00;;1516.436;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-21 00:00:00;;1487.992;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-22 00:00:00;;1478.308;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-23 00:00:00;;1428.135;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-24 00:00:00;;1444.290;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-25 00:00:00;;1794.491;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-26 00:00:00;;1923.817;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-27 00:00:00;;1648.948;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-02-28 00:00:00;;1546.461;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-03-01 00:00:00;;1492.197;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-03-02 00:00:00;;1403.325;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-03-03 00:00:00;;1340.922;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-03-04 00:00:00;;1307.175;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-03-05 00:00:00;;1211.955;Freigegeben, validierte Daten
Weil, Palmrainbrücke;2613;Abfluss;Tagesmittel;m3/s;Rhein;1995-03-06 00:00:00;;1193.260;Freigegeben, validierte Daten
