Stationsnummer: 2634
Stationsname: Emmen
DBLH-Nr: 01364
Gewässer: Kleine Emme
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-01 00:00:00;;9.134;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-02 00:00:00;;8.613;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-03 00:00:00;;8.028;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-04 00:00:00;;7.609;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-05 00:00:00;;16.737;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-06 00:00:00;;16.655;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-07 00:00:00;;13.430;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-08 00:00:00;;11.627;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-09 00:00:00;;10.546;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-10 00:00:00;;10.347;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-11 00:00:00;;9.652;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-12 00:00:00;;8.187;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-13 00:00:00;;7.237;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-14 00:00:00;;6.183;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-15 00:00:00;;6.460;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-16 00:00:00;;6.194;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-17 00:00:00;;5.515;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-18 00:00:00;;5.213;Freigegeben, validierte Daten
Emmen;2634;Abfluss;Tagesmittel;m3/s;Kleine Emme;1980-01-19 00:00:00;;4.999;Freigegeben, validierte Daten
