Stationsnummer: 2139
Stationsname: St. Margrethen
DBLH-Nr: 00610
Gewässer: Rheintaler Binnenkanal
Exportperiode: 1980-01-01-1980-02-01 2016-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-01 00:00:00;;5.19;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-02 00:00:00;;5.09;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-03 00:00:00;;4.51;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-04 00:00:00;;3.94;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-05 00:00:00;;4.54;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-06 00:00:00;;5.18;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-07 00:00:00;;5.16;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-08 00:00:00;;5.34;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-09 00:00:00;;4.16;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-10 00:00:00;;4.47;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-11 00:00:00;;4.63;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-12 00:00:00;;4.04;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-13 00:00:00;;3.53;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-14 00:00:00;;3.92;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-15 00:00:00;;3.63;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-16 00:00:00;;3.74;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-17 00:00:00;;4.19;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-18 00:00:00;;4.03;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-19 00:00:00;;4.13;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-20 00:00:00;;4.43;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-21 00:00:00;;4.43;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-22 00:00:00;;5.02;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmittel;°C;Rheintaler Binnenkanal;1980-01-23 00:00:00;;5.66;Freigegeben, validierte Daten
