Stationsnummer: 2210
Stationsname: Ocourt
DBLH-Nr: 00726
Gewässer: Doubs
Exportperiode: 2002-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-01 00:00:00;;3.90;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-02 00:00:00;;2.90;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-03 00:00:00;;2.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-04 00:00:00;;2.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-05 00:00:00;;2.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-06 00:00:00;;1.90;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-07 00:00:00;;1.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-08 00:00:00;;2.00;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-09 00:00:00;;1.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-10 00:00:00;;1.10;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-11 00:00:00;;0.90;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-12 00:00:00;;1.80;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-13 00:00:00;;2.30;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-14 00:00:00;;1.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-15 00:00:00;;1.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-16 00:00:00;;2.20;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-17 00:00:00;;3.20;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-18 00:00:00;;3.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-19 00:00:00;;3.00;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-20 00:00:00;;3.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-21 00:00:00;;4.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-22 00:00:00;;4.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-23 00:00:00;;4.40;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-24 00:00:00;;5.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-25 00:00:00;;5.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-26 00:00:00;;5.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-27 00:00:00;;5.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-28 00:00:00;;5.80;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-29 00:00:00;;5.10;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-30 00:00:00;;4.90;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-01-31 00:00:00;;5.30;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-01 00:00:00;;5.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-02 00:00:00;;5.30;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-03 00:00:00;;5.00;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-04 00:00:00;;5.40;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-05 00:00:00;;5.80;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-06 00:00:00;;6.00;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-07 00:00:00;;5.80;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-08 00:00:00;;5.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-09 00:00:00;;6.30;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-10 00:00:00;;6.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-11 00:00:00;;6.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-12 00:00:00;;6.90;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-13 00:00:00;;7.00;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-14 00:00:00;;6.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-15 00:00:00;;5.90;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-16 00:00:00;;5.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-17 00:00:00;;5.20;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-18 00:00:00;;4.80;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-19 00:00:00;;5.30;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-20 00:00:00;;5.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-21 00:00:00;;5.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-22 00:00:00;;5.20;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-23 00:00:00;;6.10;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-24 00:00:00;;6.40;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-25 00:00:00;;6.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-26 00:00:00;;6.80;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-27 00:00:00;;6.90;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-02-28 00:00:00;;6.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-03-01 00:00:00;;6.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-03-02 00:00:00;;6.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-03-03 00:00:00;;6.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-03-04 00:00:00;;6.60;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-03-05 00:00:00;;6.40;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2002-03-06 00:00:00;;6.50;Freigegeben, validierte Daten
