Stationsnummer: 2265
Stationsname: Tarasp
DBLH-Nr: 00785
Gewässer: Inn
Exportperiode: 2016-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-01 00:00:00;;0.02;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-02 00:00:00;;0.02;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-03 00:00:00;;0.02;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-04 00:00:00;;0.38;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-05 00:00:00;;0.23;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-06 00:00:00;;0.12;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-07 00:00:00;;0.11;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-08 00:00:00;;0.05;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-09 00:00:00;;0.51;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-10 00:00:00;;0.99;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-11 00:00:00;;1.63;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-12 00:00:00;;1.14;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-13 00:00:00;;0.45;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-14 00:00:00;;0.19;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-15 00:00:00;;0.08;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-16 00:00:00;;0.05;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-17 00:00:00;;0.05;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-18 00:00:00;;0.05;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-19 00:00:00;;0.09;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2016-01-20 00:00:00;;0.14;Freigegeben, validierte Daten
