Stationsnummer: 2434
Stationsname: Olten, Hammermühle
DBLH-Nr: 00946
Gewässer: Dünnern
Exportperiode: 2014-01-01-2018-12-31 2019-01-01-2020-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-01 00:00:00;;6.35;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-02 00:00:00;;6.78;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-03 00:00:00;;6.82;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-04 00:00:00;;7.65;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-05 00:00:00;;7.21;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-06 00:00:00;;6.58;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-07 00:00:00;;7.41;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-08 00:00:00;;7.77;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-09 00:00:00;;7.60;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-10 00:00:00;;7.89;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-11 00:00:00;;7.05;Freigegeben, validierte Daten
Olten, Hammermühle;2434;Wassertemperatur;Tagesmittel;°C;Dünnern;2014-01-12 00:00:00;;7.15;Freigegeben, validierte Daten
