Stationsnummer: 2176
Stationsname: Zürich, Sihlhölzli
DBLH-Nr: 00674
Gewässer: Sihl
Exportperiode: 1985-06-18 - 2022-10-20
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-18 00:00:00;;15;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-19 00:00:00;;14.68;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-20 00:00:00;;13.13;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-21 00:00:00;;14.3667;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-22 00:00:00;;13.7375;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-23 00:00:00;;13.45;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-24 00:00:00;;14.2167;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-25 00:00:00;;13.6556;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-26 00:00:00;;14.7833;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-27 00:00:00;;14.2414;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-28 00:00:00;;15.05;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-29 00:00:00;;17.798;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-06-30 00:00:00;;18.9414;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-01 00:00:00;;19.5778;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-02 00:00:00;;19.1111;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-03 00:00:00;;20.415;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-04 00:00:00;;19.6656;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-05 00:00:00;;18.3778;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-06 00:00:00;;17.9;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-07 00:00:00;;18.95;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-08 00:00:00;;20.0483;Freigegeben, validierte Daten
Zürich, Sihlhölzli;2176;Wassertemperatur;Tagesmittel;°C;Sihl;1985-07-09 00:00:00;;20.4983;Freigegeben, validierte Daten
