,clustering_options,score_name,data_set,subset,score,num_clusters
0,hierarchical,silhouette,temp,basic,0.3604288106574656,15.0
0,hierarchical,silhouette,temp,additional,0.3702646598975077,5.0
0,hierarchical,silhouette,temp,all,0.2252551051892167,12.0
0,hierarchical,silhouette,flow,basic,0.7282620563258738,4.0
0,hierarchical,silhouette,flow,additional,0.6432610673067048,6.0
0,hierarchical,silhouette,flow,all,0.3743097843189693,4.0
0,hierarchical,silhouette,both,basic,0.3971932564169504,4.0
0,hierarchical,silhouette,both,additional,0.6015512249608346,7.0
0,hierarchical,silhouette,both,all,0.297096008642435,4.0
0,kmeans,silhouette,temp,basic,0.4213615381861165,4.0
0,kmeans,silhouette,temp,additional,0.3842648636550065,5.0
0,kmeans,silhouette,temp,all,0.3842648636550065,5.0
0,kmeans,silhouette,flow,basic,0.7422274364891996,4.0
0,kmeans,silhouette,flow,additional,0.6420605910226095,5.0
0,kmeans,silhouette,flow,all,0.4141504313471675,4.0
0,kmeans,silhouette,both,basic,0.4144666380201962,4.0
0,kmeans,silhouette,both,additional,0.6006390254860342,6.0
0,kmeans,silhouette,both,all,0.2881710906821598,4.0
0,hierarchical,davies_bouldin,temp,basic,0.6974959448218142,15.0
0,hierarchical,davies_bouldin,temp,additional,0.5170296581055492,4.0
0,hierarchical,davies_bouldin,temp,all,0.9845491105686948,15.0
0,hierarchical,davies_bouldin,flow,basic,0.350964576781171,15.0
0,hierarchical,davies_bouldin,flow,additional,0.473367625146912,6.0
0,hierarchical,davies_bouldin,flow,all,0.8678072157770551,10.0
0,hierarchical,davies_bouldin,both,basic,0.7243900981137797,12.0
0,hierarchical,davies_bouldin,both,additional,0.4534225818233813,7.0
0,hierarchical,davies_bouldin,both,all,1.0474591513364788,10.0
0,kmeans,davies_bouldin,temp,basic,0.6664920960806457,10.0
0,kmeans,davies_bouldin,temp,additional,0.5476249435515942,4.0
0,kmeans,davies_bouldin,temp,all,0.5476249435515942,4.0
0,kmeans,davies_bouldin,flow,basic,0.3638443089274223,14.0
0,kmeans,davies_bouldin,flow,additional,0.535322472859885,5.0
0,kmeans,davies_bouldin,flow,all,0.9377341390369536,14.0
0,kmeans,davies_bouldin,both,basic,0.6533217406995684,12.0
0,kmeans,davies_bouldin,both,additional,0.5006664005101994,6.0
0,kmeans,davies_bouldin,both,all,1.0086692195361944,7.0
