Clustering Method,Data-set,Subset,Davies-Bouldin Score,Number of Clusters
hierarchical,both,basic,0.724,12
hierarchical,both,additional,0.453,7
hierarchical,both,all,1.047,10
kmeans,both,basic,0.653,12
kmeans,both,additional,0.501,6
kmeans,both,all,1.009,7
hierarchical,flow,basic,0.351,15
hierarchical,flow,additional,0.473,6
hierarchical,flow,all,0.868,10
kmeans,flow,basic,0.364,14
kmeans,flow,additional,0.535,5
kmeans,flow,all,0.938,14
hierarchical,temp,basic,0.697,15
hierarchical,temp,additional,0.517,4
hierarchical,temp,all,0.985,15
kmeans,temp,basic,0.666,10
kmeans,temp,additional,0.548,4
kmeans,temp,all,0.548,4
