,clustering_options,score_name,data_set,subset,score,num_clusters
0,kmeans,silhouette,flow,basic,0.7422274364891996,4.0
0,hierarchical,silhouette,flow,basic,0.7282620563258738,4.0
0,hierarchical,silhouette,flow,additional,0.6432610673067048,6.0
0,kmeans,silhouette,flow,additional,0.6420605910226095,5.0
0,hierarchical,silhouette,both,additional,0.6015512249608346,7.0
0,kmeans,silhouette,both,additional,0.6006390254860342,6.0
0,kmeans,silhouette,temp,basic,0.4213615381861165,4.0
0,kmeans,silhouette,both,basic,0.4144666380201962,4.0
0,kmeans,silhouette,flow,all,0.4141504313471675,4.0
0,hierarchical,silhouette,both,basic,0.3971932564169504,4.0
0,kmeans,silhouette,temp,additional,0.3842648636550065,5.0
0,kmeans,silhouette,temp,all,0.3842648636550065,5.0
0,hierarchical,silhouette,flow,all,0.3743097843189693,4.0
0,hierarchical,silhouette,temp,additional,0.3702646598975077,5.0
0,hierarchical,silhouette,temp,basic,0.3604288106574656,15.0
0,hierarchical,silhouette,both,all,0.297096008642435,4.0
0,kmeans,silhouette,both,all,0.2881710906821598,4.0
0,hierarchical,silhouette,temp,all,0.2252551051892167,12.0
