,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,0,1,1,0,0,6,7,4,4,6,6,11,5,5,15,15,15,15,11,20,15,20,15,15,15,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,39,39,39,39,39,39,39,19,19,19,19,19,15,15,15,19,30,30,41,41,41,41,19,47,41,69
1,2016.0,1,2,2,4,2,0,0,2,9,4,4,8,13,13,4,4,4,4,8,8,4,8,4,4,4,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,19,19,19,19,19,19,19,2,2,2,2,2,30,30,30,2,20,20,35,35,35,35,2,37,35,70
2,2018.0,0,1,1,0,0,6,7,7,7,3,3,10,3,3,7,7,7,7,17,17,7,17,7,7,7,20,20,20,20,20,20,20,20,20,20,36,36,36,36,36,36,36,36,36,18,18,18,18,18,18,18,36,36,36,36,36,7,7,7,59,53,53,21,21,21,21,59,26,21,18
3,2019.0,0,1,1,0,0,6,7,4,4,6,6,11,8,8,15,15,2,2,11,20,2,20,2,17,17,18,18,18,18,18,18,19,19,19,19,19,19,30,30,30,30,30,30,30,45,45,45,45,45,45,45,30,30,30,30,30,39,39,39,30,22,22,41,64,64,64,30,31,64,69
4,2029.0,0,1,1,0,0,6,7,7,7,3,3,10,3,3,7,7,7,7,17,17,7,2,7,7,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,3,3,3,3,3,3,49,49,49,49,49,28,28,28,49,47,47,5,5,5,5,49,23,5,57
5,2030.0,0,1,1,0,0,6,7,3,3,3,3,10,3,3,1,1,2,2,13,13,2,2,2,2,2,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,46,46,51,0,0,0,0,0,17,17,17,0,3,3,44,44,44,44,0,50,44,51
6,2033.0,0,1,1,0,0,6,7,7,7,3,3,10,8,8,7,7,7,7,17,17,7,17,7,7,7,20,20,20,29,29,29,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,16,16,16,16,16,42,42,42,16,58,58,10,10,10,10,16,20,10,64
7,2034.0,1,0,0,2,5,5,5,0,0,9,9,7,9,14,12,12,12,18,12,12,18,12,18,18,18,4,4,4,4,4,14,10,10,10,10,10,27,27,27,10,27,27,27,27,9,9,9,9,49,49,49,27,27,27,27,27,38,38,38,27,10,10,53,53,53,53,27,9,53,49
8,2044.0,1,2,3,3,3,4,4,1,1,0,0,6,2,2,13,16,16,16,6,6,16,6,16,16,16,6,6,6,6,6,6,31,31,31,31,31,31,31,31,31,31,31,31,31,2,2,47,47,47,47,47,31,31,31,31,31,13,13,13,31,13,13,36,36,36,36,31,56,36,47
9,2056.0,0,1,1,0,0,6,7,3,3,3,3,10,8,8,3,3,3,3,13,11,3,11,3,3,3,19,19,19,19,30,30,17,17,17,17,17,17,17,17,17,17,17,17,17,27,27,27,27,27,27,27,17,17,17,17,17,3,3,3,57,32,32,23,23,23,23,57,28,67,52
