,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,1,1,1,0,1,1,4,1,1,4,0,10,13,13,15,14,17,10,9,15,20,18,0,0,23,4,20,17,21,22,17,22,6,24,19,13,7,8,18,21,12,22,16,17,23,17,43,16,31,40,0,22,24,17,22,13,22,20,14,7,42,12,7,23,12,12,12,68,12,12
1,2016.0,0,2,3,3,2,3,2,4,0,3,3,4,4,4,2,3,14,4,3,18,4,2,4,22,2,22,22,2,3,4,12,17,2,3,9,12,11,22,35,39,38,0,38,0,22,3,36,3,38,2,38,34,36,36,25,3,38,38,13,34,33,23,14,3,23,23,23,3,23,23
2,2018.0,1,1,1,0,1,1,4,1,1,6,6,1,3,3,8,6,16,17,0,13,5,21,7,6,12,18,10,24,6,1,16,29,1,16,14,14,10,35,7,36,31,17,10,34,43,21,46,48,17,20,7,1,40,35,52,8,16,28,44,58,50,24,60,19,24,24,24,60,24,70
3,2019.0,1,1,1,0,1,1,4,1,1,4,0,10,13,13,15,14,17,10,9,15,20,18,0,0,23,4,20,17,21,22,17,22,6,24,19,13,7,8,18,21,12,22,16,17,23,17,43,16,31,40,0,22,24,17,22,13,22,20,14,7,42,12,7,23,12,12,67,13,67,67
4,2029.0,1,1,1,0,1,1,4,1,4,6,6,1,3,3,8,6,6,17,0,7,5,0,7,6,12,18,4,4,28,1,16,5,26,16,34,30,37,15,7,33,13,35,10,5,20,38,21,15,49,0,44,33,49,48,43,49,48,47,51,53,51,43,47,5,43,43,43,44,43,43
5,2030.0,1,1,1,0,1,1,4,1,1,6,6,1,3,3,8,1,1,1,11,13,8,7,17,17,1,16,18,14,1,28,31,29,12,17,32,27,19,20,36,15,41,26,26,37,25,45,44,10,34,42,25,32,50,14,50,0,0,55,27,43,47,28,45,38,28,28,28,43,28,28
6,2033.0,1,1,1,0,1,1,4,1,1,6,6,1,3,3,0,6,16,17,0,13,5,21,7,6,12,18,10,24,6,1,9,0,1,12,14,14,36,35,32,36,16,3,25,12,9,19,9,27,37,33,27,47,51,50,54,53,52,48,38,47,38,57,51,60,57,57,57,45,57,57
7,2034.0,0,0,0,1,0,0,1,7,2,2,1,5,0,0,1,0,0,5,7,10,2,1,15,2,0,5,21,19,14,11,11,1,14,6,17,31,33,34,37,1,34,40,42,38,2,35,39,43,23,21,41,38,0,42,44,42,1,35,37,32,39,40,1,41,40,40,40,34,40,40
8,2044.0,0,2,2,2,3,2,3,3,3,1,2,2,11,11,14,12,2,18,18,12,12,3,10,1,3,2,2,12,2,12,21,21,3,19,13,3,13,12,25,2,10,16,43,39,37,25,40,9,29,28,9,23,42,46,23,41,37,3,46,15,46,15,25,45,15,15,15,40,15,15
9,2056.0,1,1,1,0,1,1,4,1,1,6,6,1,3,3,8,1,1,1,11,13,8,7,17,17,1,16,18,14,1,28,31,29,12,17,32,27,19,20,36,38,3,26,39,1,43,6,16,36,17,6,46,37,7,52,8,39,51,27,43,24,0,49,13,46,49,49,49,66,69,69
