,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,0,1,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,20,20,4,20,20,20,20,20,20,20,20,20,20,4,20,4,4,4,4,30,30,18,41,41,41,41,18,47,47,47,20,20,47,47,47,47,47,15,58,47,58,58,15,19,19,19,19,19,19,19,19
1,2016.0,1,0,3,2,2,2,7,2,2,2,2,2,8,8,7,7,8,2,2,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,26,26,26,26,20,20,23,35,35,35,35,23,26,26,26,7,7,26,26,37,37,37,30,18,26,18,18,30,59,59,59,59,59,59,59,59
2,2018.0,1,0,3,2,2,2,7,2,2,2,2,2,8,8,7,7,8,2,2,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,26,26,26,26,20,20,23,21,21,21,21,23,26,26,26,7,7,26,26,26,26,26,7,18,26,18,18,7,59,59,59,59,59,59,59,59
3,2019.0,0,1,2,0,4,4,5,4,4,4,4,4,4,4,12,12,17,17,17,3,3,17,3,3,3,3,3,3,3,3,31,31,31,31,31,31,31,31,22,22,6,23,23,23,23,6,31,31,31,31,31,31,31,31,31,31,56,27,31,27,27,56,17,17,17,17,17,68,68,68
4,2029.0,1,0,3,2,2,2,7,2,2,2,2,2,8,8,3,3,8,2,2,7,7,2,7,7,7,23,23,23,23,30,30,30,3,30,2,2,2,2,31,31,22,5,5,5,5,22,23,23,23,23,23,23,23,23,23,23,53,57,23,57,57,53,49,49,49,49,49,49,49,49
5,2030.0,1,0,3,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,17,17,18,17,17,17,17,17,2,2,2,2,2,23,2,23,23,23,23,3,3,30,7,7,44,44,30,40,40,40,17,17,50,50,54,54,54,17,46,54,46,46,17,0,0,0,0,0,0,0,0
6,2033.0,0,1,0,0,4,4,0,3,3,10,11,11,11,11,9,9,11,11,11,0,0,20,0,0,0,0,0,0,29,29,29,29,20,29,20,20,20,20,2,2,41,10,10,10,10,41,20,20,20,42,42,20,20,20,20,20,42,50,20,50,50,42,16,16,16,16,16,16,16,16
7,2034.0,1,0,1,2,2,2,7,7,9,9,9,9,9,9,8,8,9,9,9,13,13,9,13,13,13,13,13,13,13,13,13,13,17,13,9,9,9,9,9,9,0,36,36,36,36,0,9,9,9,38,38,9,9,9,9,9,38,49,9,49,49,38,27,27,27,27,27,27,27,27
8,2044.0,1,0,1,2,2,2,7,7,9,9,9,9,9,9,8,8,9,9,9,13,13,9,13,13,13,13,13,13,13,13,13,13,17,13,9,9,9,9,9,9,19,36,36,36,36,19,9,9,9,13,13,9,9,9,9,56,13,47,56,47,47,13,31,31,31,31,31,31,31,31
9,2056.0,0,1,0,0,4,4,5,4,4,10,10,4,4,4,12,12,17,17,17,3,3,17,3,3,3,3,3,3,3,3,3,3,12,3,17,17,17,17,32,32,38,38,38,38,38,38,17,17,17,3,3,17,17,17,17,17,3,52,17,52,52,3,57,57,57,57,57,57,57,57
10,2070.0,1,2,1,3,3,3,6,7,9,3,3,3,3,3,8,8,3,3,3,8,21,3,21,21,21,21,21,21,21,21,21,21,28,21,33,33,33,33,21,21,36,22,22,22,22,36,33,33,33,21,21,33,33,33,33,33,21,19,33,19,19,21,47,47,47,47,47,47,47,47
