,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,1,0,0,4,5,2,2,2,2,2,2,2,2,7,4,7,7,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,30,19,19,19,19,19,19,19,19,51,51,51,51,19,19,19,19,19,19,19,69
1,2016.0,1,0,0,0,4,3,3,3,3,3,3,3,13,5,13,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,2,2,2,2,2,2,2,2,23,23,23,23,2,2,2,2,2,2,2,70
2,2018.0,1,0,0,4,5,2,2,2,2,2,2,2,2,7,2,7,7,18,18,18,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,48,36,36,36,36,36,36,36,36,34,34,34,34,59,59,59,59,59,59,59,18
3,2019.0,1,1,2,2,0,4,4,4,9,9,9,12,12,10,12,10,10,10,10,10,10,10,23,23,23,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,22,17,17,17,17,17,17,57,57,55,55,55,55,57,57,57,57,57,68,68,45
4,2029.0,1,0,0,4,5,2,2,2,2,2,2,2,2,5,2,5,5,5,5,5,5,5,5,5,5,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,46,46,49,47,49,49,49,49,49,49,49,49,22,22,22,22,49,49,49,49,49,49,49,57
5,2030.0,1,0,2,4,5,2,2,2,2,2,2,2,2,7,14,7,7,18,18,18,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,54,54,54,54,0,0,0,0,0,0,0,51
6,2033.0,1,1,2,2,0,5,5,5,9,9,9,9,9,10,12,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2,16,16,16,16,16,16,16,16,41,41,41,41,16,16,16,16,16,16,16,64
7,2034.0,1,1,1,1,1,0,0,8,8,8,8,8,8,9,8,15,15,15,15,15,15,15,15,15,15,5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,42,27,27,27,27,27,27,27,27,0,0,0,0,27,27,27,27,27,27,27,49
8,2044.0,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,22,22,22,22,1,1,1,1,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,8,31,31,31,31,31,31,31,31,19,19,19,19,31,31,31,31,31,31,31,47
9,2056.0,1,1,2,2,0,5,5,5,9,9,9,12,12,10,12,10,10,10,10,10,10,10,23,23,23,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,32,17,17,17,17,17,17,57,57,38,38,38,38,57,57,57,57,57,57,57,52
10,2070.0,1,1,2,1,3,1,1,1,1,1,1,1,1,12,9,12,12,12,12,12,12,22,22,22,22,14,14,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,47,47,47,21,47,47,47,47,47,47,47,47,36,36,36,36,47,47,47,47,47,47,47,19
11,2084.0,1,1,2,2,0,4,4,4,9,9,9,12,12,10,12,10,10,10,10,10,10,10,23,23,23,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,15,15,15,15,15,15,15,15,20,20,20,20,15,15,15,15,15,15,15,25
12,2085.0,1,0,0,4,5,2,2,2,2,2,2,2,2,7,2,7,7,18,18,18,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,46,7,46,46,46,46,46,46,46,46,34,34,34,34,46,46,46,46,46,46,46,18
13,2091.0,0,2,3,3,2,6,7,7,7,7,7,7,7,3,7,3,3,3,3,3,3,3,3,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,45,20,20,20,20,20,20,20,20,59,59,59,59,20,20,20,20,20,20,20,3
14,2104.0,1,1,2,2,0,5,5,5,9,9,9,12,12,7,14,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,30,30,30,30,11,11,11,11,11,11,11,24
15,2106.0,1,1,1,1,1,0,0,8,8,8,8,8,8,11,8,15,15,15,15,15,15,15,15,15,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,42,5,5,5,5,5,5,5,5,49,49,49,49,5,5,5,5,5,5,5,1
16,2109.0,1,1,2,2,0,4,4,4,4,4,4,4,4,6,15,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,39,12,12,12,12,12,12,12,12,16,16,16,16,12,12,12,12,12,12,12,5
17,2112.0,1,1,2,2,3,1,1,1,1,1,1,1,1,12,9,12,12,12,12,12,12,12,12,12,25,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,14,14,14,14,14,14,14,14,27,27,27,27,14,14,14,14,14,14,14,15
18,2126.0,1,1,1,1,1,0,0,8,8,8,11,11,11,11,11,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,32,32,32,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,10,35,35,35,35,35,35,35,35,31,31,31,31,35,35,35,35,35,35,35,9
19,2130.0,0,2,3,3,2,6,6,6,6,6,6,6,6,13,6,13,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,21,21,21,21,8,8,8,8,21,21,21,21,21,21,21,37
20,2135.0,1,0,2,4,5,2,2,2,2,2,2,2,2,7,14,7,7,18,18,18,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,54,54,54,54,0,0,0,66,66,66,66,46
21,2139.0,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24,4,4,4,4,4,4,4,4,57,57,57,57,4,4,4,4,4,4,4,43
22,2143.0,1,0,0,0,4,3,3,3,3,3,3,3,3,5,3,5,5,5,19,19,19,19,19,19,19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
23,2150.0,1,1,2,2,0,5,5,5,9,9,9,9,9,10,5,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,49,16,16,16,16,16,16,16,16,25,25,61,61,62,62,62,62,62,62,62,17
24,2152.0,1,0,2,4,5,2,2,2,2,2,2,2,2,7,14,7,7,18,18,18,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,48,36,36,36,36,36,36,36,36,1,1,1,1,36,36,36,36,36,36,36,67
25,2159.0,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,13,13,13,13,13,13,13,13,13,13,13,13,13,39,39,39,39,39,39,39,39,39,39,39,26,39,52,52,52,52,52,52,52,12,12,12,12,52,52,52,52,52,52,52,11
26,2161.0,1,1,2,2,0,4,4,4,4,4,4,4,4,6,15,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,9,9,9,9,63,63,63,63,63,63,63,56
27,2167.0,1,1,1,1,3,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,37,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,42
28,2170.0,1,1,2,2,0,4,4,4,9,9,9,12,12,10,4,10,10,10,10,10,10,10,23,23,23,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,18,18,18,18,15,64,64,64,64,64,64,58
29,2174.0,1,0,0,0,4,3,3,3,3,3,3,3,13,5,13,5,5,5,19,19,19,19,19,19,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,2,2,2,2,2,2,2,2,44,44,44,44,2,2,2,2,2,2,69,4
30,2179.0,1,1,1,1,3,1,1,1,1,1,1,1,1,12,1,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,43,33,33,33,33,33,33,33,33,48,48,48,48,33,33,33,33,33,33,33,48
31,2181.0,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,50,50,50,50,1,1,1,1,1,1,1,36
32,2210.0,1,1,1,1,1,0,0,8,8,8,11,11,11,9,11,16,16,16,16,16,16,16,16,16,16,5,5,5,5,5,5,32,32,32,35,35,37,37,37,37,37,37,37,37,37,37,37,41,41,1,41,41,41,41,41,41,41,41,5,5,5,5,41,41,41,41,41,41,41,55
33,2232.0,1,1,2,2,0,5,5,5,5,5,5,5,5,14,5,14,14,14,14,14,14,14,14,14,14,26,26,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44,44,44,44,44,44,40,44,44,44,44,44,44,44,44,25,25,25,25,44,44,44,44,44,44,44,59
34,2243.0,1,1,2,4,5,2,2,2,2,2,2,2,2,7,2,7,7,7,7,7,21,21,21,21,21,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,45,45,45,45,8,8,8,8,8,8,8,62
35,2256.0,1,1,2,2,0,5,5,5,5,5,5,5,5,14,15,14,14,14,14,14,14,14,14,14,14,22,22,22,29,29,29,29,29,29,29,29,29,38,38,38,38,38,38,38,38,38,38,38,38,44,38,38,38,38,38,38,38,38,17,17,17,17,38,38,38,38,38,38,38,23
36,2265.0,1,1,2,2,0,5,5,5,9,9,9,9,9,10,15,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,46,51,51,51,51,51,51,51,51,46,46,46,46,51,51,51,51,51,51,51,65
37,2269.0,1,1,2,2,0,4,4,4,4,4,4,12,12,6,12,6,6,6,6,6,6,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,43,43,43,43,43,43,43,39,43,43,43,43,43,43,43,43,15,15,15,15,43,43,43,43,43,43,43,30
38,2276.0,1,1,2,2,0,5,5,5,5,5,5,5,5,14,5,14,14,14,14,20,20,20,20,20,20,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,58,24,24,24,24,58,58,58,58,58,58,58,40
39,2282.0,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,34,34,34,34,34,39,39,39,42,42,42,42,42,42,42,42,13,42,42,42,42,42,42,42,42,40,40,40,40,42,42,42,42,42,42,42,68
40,2288.0,1,0,0,0,4,3,3,3,3,3,3,3,13,5,13,5,5,5,19,19,19,19,19,19,19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,45,45,45,45,45,35,45,45,45,45,45,45,45,45,10,10,10,10,45,45,45,45,45,45,45,60
41,2307.0,1,1,1,1,1,0,0,0,0,0,0,0,0,11,0,11,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,25,32,32,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,14
42,2308.0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23,23,23,23,23,23,23,34,34,34,34,34,39,39,39,39,39,39,39,39,39,39,39,4,39,39,39,39,39,39,39,39,26,26,26,26,39,39,65,65,65,65,65,33
43,2327.0,1,1,2,2,0,5,5,5,5,5,5,5,5,14,5,14,14,14,14,14,14,14,14,14,14,26,26,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,29,29,29,29,29,29,29,29,32,32,32,32,29,29,29,29,29,29,29,7
44,2343.0,1,1,1,1,1,0,0,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,32,32,32,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,10,35,35,35,54,54,54,54,54,11,11,11,11,54,54,54,54,54,54,54,41
45,2347.0,1,1,2,2,0,5,5,5,5,5,5,5,5,14,9,14,14,14,14,14,14,14,14,14,14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,24,24,24,24,24,24,24,24,42,42,42,42,24,24,24,24,24,24,24,54
46,2351.0,1,1,2,2,0,4,4,4,9,9,9,9,9,10,15,10,10,10,10,10,10,10,10,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,18,22,22,22,22,22,22,22,22,21,21,21,21,22,22,22,22,22,22,22,39
47,2366.0,1,1,2,2,0,5,5,5,5,5,5,5,5,14,5,14,14,14,14,14,14,14,14,14,14,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,32,32,32,32,26,26,26,26,26,26,26,26
48,2369.0,1,1,1,1,1,0,0,8,8,8,11,11,11,9,11,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,35,35,37,37,37,37,37,37,37,37,37,37,37,37,37,28,37,37,37,37,37,37,37,37,56,56,56,56,37,37,37,37,37,37,37,32
49,2372.0,1,1,2,2,0,5,5,5,9,9,9,12,12,10,12,10,10,10,10,10,10,10,23,23,23,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,32,17,17,17,17,17,17,57,57,55,55,55,55,57,57,57,57,57,57,57,45
50,2374.0,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,34,34,34,34,34,39,39,39,39,39,39,39,39,39,39,39,13,39,39,39,39,39,39,39,39,26,26,26,26,39,39,39,39,39,39,39,6
51,2386.0,1,1,1,1,1,0,0,8,8,8,11,11,11,9,11,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,35,35,37,37,37,37,37,37,37,37,37,37,37,37,37,38,37,37,37,37,37,37,37,37,47,47,47,47,37,37,37,37,37,37,37,53
52,2410.0,1,1,2,2,0,5,5,5,9,9,9,12,12,10,12,10,10,10,10,10,10,10,23,23,23,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,17,17,17,17,17,17,17,17,6,6,6,6,61,61,61,61,61,61,61,31
