,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,1,0,3,0,2,5,2,7,2,7,0,12,6,13,4,8,11,11,6,12,21,5,22,21,20,24,2,17,19,28,28,10,32,13,35,23,10,2,38,34,37,38,32,31,43,28,45,29,13,28,28,28,49,33,33,27,40,32,31,29,42,41,38,27,24,39,27,45,27,27
1,2016.0,1,0,0,4,0,1,5,5,9,6,2,1,8,11,13,12,12,10,16,17,16,11,14,16,12,15,15,6,14,8,16,8,5,21,9,18,8,17,2,1,3,11,10,26,25,16,19,43,40,45,45,46,39,20,36,42,12,23,40,38,17,10,14,37,40,41,37,42,14,37
2,2018.0,1,0,0,4,0,1,5,5,7,6,6,1,2,8,1,16,7,0,8,3,4,21,6,4,1,0,7,9,2,29,4,23,7,19,2,27,12,7,16,10,4,1,2,16,31,30,7,13,1,4,4,30,11,51,4,6,20,1,9,14,27,38,11,58,43,44,58,40,26,58
3,2019.0,1,0,3,0,2,5,2,4,2,7,0,12,10,13,4,3,10,11,13,5,1,17,17,1,20,9,2,8,15,2,1,31,11,13,7,21,1,10,7,12,29,12,4,17,4,13,25,45,34,1,51,5,9,15,25,56,5,52,58,56,57,57,56,56,51,2,56,55,59,56
4,2029.0,1,0,0,4,0,1,5,5,7,6,6,1,2,8,9,16,7,0,4,3,4,21,6,4,1,0,7,9,2,20,4,23,7,5,2,9,12,7,16,10,4,1,2,16,2,2,7,13,1,4,4,30,52,1,4,6,20,56,48,5,6,61,62,4,61,61,65,61,0,65
5,2030.0,1,0,0,4,0,1,5,5,7,6,6,1,2,8,1,16,7,0,8,3,4,2,6,4,1,0,7,9,28,29,27,23,7,19,28,27,12,7,10,10,4,39,2,16,31,15,40,13,1,27,27,0,11,47,40,49,0,53,53,50,18,2,5,49,10,1,49,24,16,49
6,2033.0,1,0,3,0,2,5,0,4,5,1,5,4,5,4,14,9,2,6,13,18,11,13,13,11,9,7,18,27,15,26,29,15,19,17,13,3,22,4,5,2,9,5,21,23,9,6,32,0,20,29,29,29,28,4,21,14,4,4,21,9,44,34,41,39,36,10,66,68,40,66
7,2034.0,0,1,1,1,1,0,1,8,4,9,1,11,4,7,11,10,16,1,15,1,0,18,15,23,19,17,11,12,9,3,23,18,18,14,27,28,25,35,25,7,27,37,39,40,21,29,37,37,32,23,23,32,0,49,30,36,26,36,33,43,32,28,42,24,30,43,24,37,45,24
8,2044.0,0,1,1,2,4,4,6,6,1,3,9,0,0,1,15,1,8,3,9,11,15,4,10,15,17,16,1,1,22,12,15,14,33,4,8,6,4,6,26,37,16,6,28,22,42,32,8,28,10,47,47,33,44,34,38,19,35,33,41,47,48,45,45,42,32,45,42,30,30,42
9,2056.0,1,0,3,0,2,5,0,4,5,1,5,4,10,4,14,8,10,6,13,5,1,7,9,1,9,9,10,8,15,2,1,31,11,23,7,21,1,10,7,12,5,27,4,17,17,13,25,19,9,1,1,5,40,36,15,20,34,27,1,0,55,44,54,1,6,26,1,16,55,68
10,2070.0,0,1,0,2,3,2,4,6,6,8,3,10,1,1,2,15,0,14,7,11,19,8,5,19,4,22,23,22,11,4,19,28,30,25,19,26,30,29,21,33,7,31,24,0,34,24,41,27,14,32,32,24,32,22,23,2,46,20,23,21,21,27,40,41,12,22,41,39,22,41
