,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,1,1,1,1,2,0,1,1,4,5,5,10,10,13,5,1,11,18,17,17,8,17,23,18,4,1,0,8,29,10,26,13,33,0,2,26,10,22,33,33,29,33,4,36,44,36,46,42,44,44,49,52,49,42,42,42,34,34,44,45,41,35,38,26,46,34,25,42,42,42
1,2016.0,1,1,1,1,2,0,1,3,4,5,9,9,9,8,12,8,8,15,14,11,2,11,8,19,20,22,15,23,12,13,23,11,11,11,25,5,28,29,11,11,6,11,15,18,8,16,6,37,29,31,8,20,33,9,9,9,28,28,26,23,25,25,23,23,28,26,28,9,9,9
2,2018.0,1,1,1,1,0,0,2,1,9,5,5,5,1,13,5,1,11,18,17,17,8,17,9,18,4,15,10,10,13,10,8,27,17,29,14,6,34,31,17,17,11,17,24,1,26,10,43,13,11,28,30,1,1,23,23,23,1,52,28,53,57,53,53,4,2,11,48,23,23,23
3,2019.0,1,1,1,1,0,4,2,1,1,8,0,11,13,10,7,7,14,6,12,16,0,16,23,15,23,6,7,26,2,5,28,15,27,12,16,27,31,28,27,27,0,27,18,23,24,13,0,5,0,21,22,11,25,27,27,27,21,24,33,25,58,11,5,27,25,29,0,27,27,27
4,2029.0,1,1,1,1,2,0,1,3,4,5,5,5,1,13,5,1,11,1,0,17,8,17,9,18,4,12,10,10,13,10,8,27,17,29,33,31,34,31,17,17,7,17,23,1,26,25,7,34,11,15,50,46,39,49,49,49,48,51,49,55,53,51,49,37,54,53,2,49,49,49
5,2030.0,1,1,1,1,0,0,2,1,9,5,5,5,1,13,5,1,11,18,17,17,8,17,9,18,4,15,10,10,13,10,31,3,17,25,14,6,20,13,37,37,11,37,24,21,18,41,11,48,39,41,0,40,41,16,16,16,41,39,19,38,15,44,39,45,49,42,27,16,16,16
6,2033.0,1,1,1,1,0,4,2,6,9,0,11,1,1,1,1,14,4,17,4,13,6,13,1,0,0,26,26,5,4,18,14,0,13,17,26,1,4,9,13,13,26,13,6,14,23,37,26,22,40,32,24,27,34,15,15,15,24,11,46,20,50,2,62,60,62,57,15,61,61,61
7,2034.0,0,0,3,4,1,6,7,2,2,1,1,3,12,0,13,13,1,12,1,0,16,0,20,16,1,25,27,1,1,7,1,28,29,23,22,33,33,5,29,29,24,29,42,37,39,35,24,38,33,26,35,31,32,33,33,33,36,7,1,32,36,31,28,39,30,2,36,33,33,33
8,2044.0,0,0,0,0,4,1,6,7,0,6,2,7,0,12,0,9,12,14,13,15,4,15,17,3,25,16,25,4,23,23,22,29,15,13,9,15,32,38,15,40,27,40,28,28,11,45,27,24,27,38,39,12,30,24,24,24,10,4,30,14,39,45,40,36,43,39,49,24,24,24
9,2056.0,1,1,1,1,0,4,2,1,9,0,0,1,1,11,1,4,2,8,6,1,6,1,16,7,17,9,13,24,9,29,16,30,1,10,6,14,30,0,1,1,15,1,14,9,14,5,15,27,15,14,51,39,52,1,1,1,50,1,55,2,46,42,54,49,55,41,10,1,1,1
10,2070.0,0,0,0,3,3,3,6,7,0,6,2,7,11,5,10,3,12,4,16,7,21,7,12,20,24,2,23,19,17,20,19,17,31,16,20,20,11,30,31,31,36,31,27,19,12,29,36,19,21,17,12,4,12,36,36,36,32,20,34,30,11,26,25,25,21,0,29,36,36,36
11,2084.0,1,1,1,1,0,4,2,6,9,0,11,1,1,1,1,14,4,17,4,1,6,1,1,0,0,26,13,24,24,27,3,30,25,17,13,1,4,9,25,25,34,25,21,15,1,22,34,11,49,0,36,8,9,32,32,32,53,32,54,34,47,36,58,1,32,64,38,32,32,32
12,2085.0,1,1,1,1,2,0,1,3,4,5,5,5,1,13,5,1,11,18,17,17,8,17,9,18,4,15,10,10,13,10,8,27,17,29,14,6,34,31,17,17,7,17,24,1,26,41,43,48,11,15,30,1,51,23,23,23,1,17,28,11,27,10,11,56,34,33,67,68,68,68
13,2091.0,1,2,2,2,5,2,5,4,3,3,3,2,6,7,2,2,5,3,5,4,3,4,5,2,2,5,3,3,6,3,2,2,4,7,5,35,3,2,4,4,5,4,8,34,5,4,5,4,2,2,2,3,2,4,4,4,26,35,39,33,34,41,0,34,5,40,39,4,4,4
14,2104.0,1,1,1,1,0,4,2,6,9,0,11,1,1,1,1,14,4,17,4,1,6,1,1,0,0,26,13,24,24,27,14,0,25,17,13,1,4,9,25,25,34,25,21,15,1,22,34,11,7,0,36,21,9,32,32,56,19,49,4,50,6,34,22,51,56,18,53,56,56,56
