,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,1,2,1,4,0,4,4,1,8,3,2,5,4,3,7,11,8,16,0,11,14,16,0,21,13,4,2,15,18,10,22,23,7,17,19,26,35,36,19,3,33,2,28,11,11,17,22,6,4,44,6,24,11,34,18,18,35,8,3,22,19,10,1,16,4,23,13,16,16,16
1,2016.0,0,1,0,3,1,1,1,2,0,6,5,0,1,9,2,8,7,3,1,2,15,1,5,0,23,6,0,5,21,3,3,1,2,18,1,0,2,10,11,17,29,5,26,44,44,4,24,11,23,21,39,5,44,2,13,1,7,37,29,1,34,28,8,27,22,26,22,27,27,27
2,2018.0,0,1,0,3,1,1,1,2,0,6,5,0,1,9,2,8,7,3,1,2,15,1,5,0,23,6,0,5,21,3,3,1,2,18,1,0,2,10,11,17,29,5,26,44,44,4,24,11,23,21,39,5,44,2,13,1,7,37,29,1,34,28,8,27,22,26,22,27,27,27
3,2019.0,1,2,1,4,0,4,7,6,6,1,4,2,0,7,1,2,2,4,17,19,16,4,6,6,22,19,27,22,0,9,4,32,32,3,0,34,30,38,36,7,22,30,42,33,33,10,10,38,34,33,7,30,33,44,29,37,4,6,40,35,11,12,38,42,7,30,0,42,42,42
4,2029.0,0,1,0,3,1,1,1,2,0,6,5,0,8,2,2,8,7,3,1,2,15,1,5,0,23,6,0,5,2,3,3,1,2,12,1,32,2,7,11,17,26,42,11,2,2,4,2,41,7,4,0,37,2,42,51,53,51,5,23,45,14,48,44,2,51,2,1,68,68,68
5,2030.0,0,1,0,3,1,1,1,2,0,2,9,0,7,9,2,3,1,10,13,20,6,9,21,13,11,11,8,17,19,20,9,13,21,0,18,15,18,19,9,6,12,6,2,28,28,25,45,0,27,13,14,0,28,21,0,31,0,28,9,54,26,21,50,13,21,25,15,13,13,13
6,2033.0,1,2,1,1,3,6,0,5,3,4,4,1,9,11,6,7,15,1,2,1,2,14,13,1,0,18,16,13,22,17,10,22,27,24,17,27,31,23,13,1,4,17,20,1,1,39,26,33,5,2,25,17,50,41,37,36,23,38,38,42,23,25,43,43,8,40,4,43,43,43
7,2034.0,0,1,0,0,2,5,3,4,9,0,8,8,1,10,14,6,3,12,14,14,13,13,10,17,9,12,13,19,9,14,14,11,18,32,9,17,12,34,34,14,40,13,8,14,14,14,7,7,10,48,10,15,46,36,40,33,30,17,36,16,7,41,63,15,12,56,60,15,15,15
8,2044.0,0,1,0,0,2,5,3,4,9,0,8,8,1,10,14,6,3,12,14,14,13,13,10,17,9,12,13,19,9,14,14,11,18,32,9,17,12,34,34,14,40,13,8,14,14,14,7,7,10,7,10,15,46,36,40,33,30,17,36,16,7,62,18,63,62,0,40,63,63,63
9,2056.0,1,2,1,4,3,4,7,6,6,1,4,2,0,7,10,16,10,11,8,13,8,20,14,19,15,0,18,7,16,12,12,2,1,21,12,14,1,1,12,13,6,3,1,13,13,43,18,1,2,15,9,8,13,1,17,8,40,43,6,59,61,44,15,5,63,62,44,5,5,5
