,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,1,0,2,3,4,4,5,8,8,8,5,5,5,4,4,4,4,18,4,18,18,18,18,19,19,18,18,15,4,18,29,29,29,15,15,15,29,19,19,8,8,41,41,41,41,41,41,19,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
1,2016.0,1,2,0,4,2,3,3,0,4,4,3,6,6,13,13,13,13,10,13,10,10,22,23,2,2,21,21,7,23,21,5,5,5,28,28,28,35,2,2,16,16,35,35,35,35,35,35,2,20,40,40,40,40,40,40,40,40,40,40,40,40,62,62,62,62,62,62,62,62,62
2,2018.0,1,2,0,4,2,2,3,4,4,4,6,7,7,8,8,8,8,1,8,1,1,1,1,8,8,17,17,2,26,17,21,21,21,7,7,7,21,36,36,18,18,21,21,21,21,21,21,36,48,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
3,2019.0,1,0,2,3,4,4,0,5,5,5,11,12,12,14,14,14,17,16,17,16,16,16,16,17,17,15,15,3,28,15,23,23,23,3,3,3,37,12,12,5,5,37,37,37,37,37,37,12,22,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
4,2029.0,1,2,0,4,2,3,3,4,4,4,3,6,6,8,8,8,8,1,8,1,1,22,22,18,18,17,17,2,23,17,5,5,5,7,7,7,5,18,18,16,16,5,5,5,5,5,5,18,47,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,2030.0,1,2,0,4,2,2,3,4,4,4,6,8,8,8,8,8,8,1,8,1,1,1,1,0,0,23,23,17,26,23,18,18,18,17,17,17,18,0,0,24,24,18,18,44,44,44,44,0,3,23,23,23,23,23,23,23,23,23,23,23,61,61,61,61,61,61,61,61,61,61
6,2033.0,1,0,2,3,5,5,2,7,5,7,2,3,3,14,14,14,14,17,14,17,17,17,17,16,16,12,12,0,20,9,10,10,10,0,0,0,10,16,16,17,17,10,10,10,10,10,10,16,49,9,9,9,9,9,9,9,9,9,9,60,60,60,60,60,60,60,60,60,60,60
7,2034.0,1,2,1,1,1,2,1,6,9,9,4,11,13,9,9,9,9,0,9,0,0,0,0,23,23,11,27,19,9,27,1,1,1,13,13,13,36,27,27,32,32,36,36,36,36,36,36,27,28,44,44,44,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
8,2044.0,1,2,1,1,1,2,1,6,9,9,8,11,13,9,9,9,9,0,9,19,19,19,19,23,23,11,27,19,9,27,9,9,9,13,13,13,36,31,31,13,13,36,36,36,36,36,36,31,19,27,27,27,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,70
9,2056.0,1,0,2,3,4,4,5,5,5,7,11,12,12,14,14,14,17,16,17,20,20,20,20,15,15,12,12,3,29,12,23,23,23,3,3,3,10,15,15,25,25,40,40,40,40,40,40,15,32,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
10,2070.0,1,2,1,1,1,1,4,2,6,6,9,10,10,3,3,3,3,13,18,13,13,13,13,14,14,10,10,21,21,1,22,22,22,21,21,21,34,14,14,19,19,34,34,34,34,34,34,47,21,39,39,39,39,39,39,39,57,57,57,57,57,57,57,57,57,57,57,57,57,57
11,2084.0,1,0,2,3,4,4,5,5,5,10,11,12,12,14,14,14,17,6,17,20,20,20,20,15,15,26,26,3,29,26,23,23,23,31,31,31,23,15,15,25,25,40,40,40,40,40,40,15,11,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
12,2085.0,1,2,0,4,2,2,3,4,4,4,6,8,8,8,8,8,8,1,8,1,1,1,1,0,0,23,23,17,26,23,18,18,18,2,2,2,18,0,0,24,24,18,18,18,18,18,18,46,7,23,23,23,23,23,23,23,23,23,59,59,59,59,59,59,59,59,59,59,59,59
13,2091.0,0,1,3,2,3,6,7,3,3,3,7,2,2,2,2,2,2,8,2,8,8,8,8,20,20,7,7,28,2,7,3,3,3,30,30,30,3,20,20,3,3,3,3,3,3,3,3,20,45,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
14,2104.0,1,2,1,0,0,2,1,1,1,1,10,8,11,1,1,1,1,12,1,12,12,12,12,11,11,8,8,5,24,8,7,7,7,5,35,36,7,11,11,9,9,7,7,7,7,7,7,11,6,42,42,42,42,42,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
15,2106.0,1,2,1,0,0,0,1,1,1,1,10,11,11,1,1,1,1,12,1,12,12,12,12,5,5,8,8,5,24,8,15,15,15,5,35,35,15,35,35,9,9,15,15,15,15,15,15,35,10,42,42,42,42,42,42,42,42,42,42,42,42,42,8,8,8,8,8,8,8,8
16,2109.0,1,0,2,3,5,5,0,5,5,5,11,12,12,14,14,14,17,16,17,16,16,16,16,17,17,15,15,3,28,15,23,23,23,3,3,3,37,12,12,5,5,37,37,37,37,37,37,12,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,66,66,66,66,66
17,2112.0,1,0,1,1,1,1,2,2,2,2,9,10,10,3,3,3,3,14,3,14,14,14,14,14,14,9,9,9,3,29,0,0,0,9,9,9,34,14,14,15,15,34,34,34,34,34,34,14,21,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
18,2126.0,1,2,1,0,0,0,1,1,1,1,8,11,11,1,1,1,1,12,1,12,12,12,12,5,5,8,8,5,24,8,27,27,27,5,35,35,27,35,35,9,9,27,27,27,27,27,27,35,10,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
19,2130.0,0,1,3,2,3,6,7,3,3,3,7,2,2,2,2,2,2,8,2,8,8,8,8,21,21,16,16,28,2,16,13,13,13,30,30,30,13,21,21,37,37,13,13,13,13,13,13,21,29,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
20,2135.0,1,2,0,4,2,2,3,4,4,4,6,8,8,8,8,8,8,1,8,1,1,1,1,0,0,23,23,17,26,23,18,18,18,17,17,17,18,0,0,24,24,18,18,44,44,44,44,0,3,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
21,2139.0,1,2,1,0,0,0,6,1,1,1,10,1,11,12,12,12,1,12,19,12,12,12,12,4,4,8,8,5,24,8,11,11,11,5,5,5,11,4,4,10,10,11,11,11,11,11,11,4,24,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
22,2143.0,0,2,0,4,2,3,3,0,0,0,3,4,4,13,13,13,13,7,13,7,7,7,7,7,7,3,3,7,13,3,19,19,19,28,28,28,19,7,7,0,0,19,19,19,19,19,19,7,35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,2150.0,1,0,2,3,5,5,2,2,2,7,2,10,10,3,3,3,14,17,14,17,17,17,17,16,16,9,9,0,20,9,10,10,10,0,0,0,10,16,16,17,17,10,10,10,10,10,10,16,49,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
24,2152.0,1,2,0,4,2,2,3,4,4,4,6,7,7,8,8,8,8,1,8,1,1,1,1,8,8,17,17,2,26,17,21,21,21,7,7,7,21,36,36,18,18,21,21,21,21,21,21,36,48,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
25,2159.0,1,2,1,0,0,2,1,1,9,1,8,11,11,1,1,1,1,5,1,5,5,5,5,13,13,11,11,13,1,11,16,32,32,33,33,35,32,37,37,11,11,32,32,32,32,32,32,37,41,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,69,69
26,2161.0,1,0,2,3,5,5,0,7,7,5,0,0,0,5,5,5,5,9,5,9,9,9,9,12,12,20,20,27,5,30,6,6,6,27,27,27,6,26,26,30,30,6,6,6,6,6,6,43,16,50,50,50,50,50,50,50,50,58,58,58,58,58,58,58,58,58,58,58,58,58
27,2167.0,1,2,0,4,2,2,1,4,9,9,1,7,7,7,7,16,16,2,16,2,2,2,2,3,3,2,2,26,16,2,24,24,24,26,26,26,24,3,3,38,38,24,24,24,24,24,24,3,37,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
