,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,1,0,1,0,4,5,5,8,8,8,8,8,2,8,8,8,8,8,8,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,36,36,36,36,17,17,17,17,17,41,41,41,41,41,41,41,18,41,41,18,18,47,47,51,8,8,18,18,18,18,18,18,18,18,18
1,2016.0,1,0,0,4,4,6,6,6,6,6,6,6,13,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,21,21,21,21,35,35,35,35,35,35,35,21,35,35,21,21,37,37,23,6,6,62,62,62,62,62,62,62,62,62
2,2018.0,1,0,1,0,5,0,7,8,8,8,8,8,4,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,21,21,21,21,21,21,21,17,21,21,17,17,26,26,34,14,14,17,17,17,17,17,17,17,17,17
3,2019.0,1,1,3,1,1,1,1,0,0,0,0,0,9,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,10,10,10,10,10,10,10,48,10,10,48,48,31,31,41,16,16,48,48,48,48,48,48,48,48,48
4,2029.0,1,0,0,0,4,6,6,6,6,6,6,6,2,8,8,8,8,8,8,8,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,40,40,40,40,40,5,5,5,5,5,5,5,40,5,5,40,40,23,23,22,37,37,40,40,40,40,40,40,40,40,40
5,2030.0,1,0,1,0,5,0,7,8,8,8,8,8,4,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,44,44,44,44,44,44,44,23,44,44,23,23,50,50,54,29,29,61,61,61,61,61,61,61,61,61
6,2033.0,1,1,3,1,1,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,32,32,32,10,10,10,10,10,10,10,48,10,10,48,48,20,20,55,0,0,60,60,60,60,60,60,60,60,60
7,2034.0,1,1,3,3,2,3,3,3,9,1,1,1,0,1,1,1,1,1,19,20,10,10,10,10,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,37,37,37,37,37,12,12,12,12,12,12,12,37,53,53,53,53,9,9,0,53,53,53,53,53,53,53,53,53,53,53
8,2044.0,1,1,3,1,1,1,1,0,0,0,0,0,10,13,13,13,13,13,13,13,1,1,1,1,25,25,25,25,25,25,31,31,31,31,31,31,31,31,31,10,10,10,10,10,36,36,36,36,36,36,36,10,36,36,10,10,56,56,19,31,31,10,10,10,10,10,10,10,10,70
9,2056.0,1,1,3,1,1,1,0,0,0,0,0,0,12,0,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,7,7,7,7,7,7,7,12,7,7,12,12,40,40,38,15,15,12,12,12,12,12,12,12,12,12
10,2070.0,1,1,3,3,2,3,3,1,9,1,1,1,0,1,1,1,1,1,19,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,29,29,29,29,29,12,12,12,12,12,12,51,29,51,51,29,29,33,33,36,19,19,57,57,57,57,57,57,57,57,57
11,2084.0,1,1,3,1,1,1,1,0,0,10,10,10,11,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,26,26,26,26,26,40,40,40,40,40,40,40,26,40,40,26,26,29,29,20,48,48,26,26,26,26,26,26,26,26,26
12,2085.0,1,0,1,0,4,6,7,8,8,8,8,8,2,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,17,17,17,17,17,18,18,18,18,18,18,18,17,18,18,17,17,26,26,34,8,8,59,59,59,59,59,59,59,59,59
13,2091.0,0,2,2,2,3,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7,7,7,7,7,3,3,3,3,3,3,3,7,3,3,7,7,57,57,59,51,51,7,7,7,7,7,7,7,7,7
14,2104.0,1,1,3,1,1,1,0,0,0,0,0,0,12,0,15,16,16,16,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,7,7,7,7,7,7,7,48,7,7,55,55,40,40,30,42,42,55,55,55,55,55,55,55,55,55
15,2106.0,1,1,3,3,2,3,3,1,1,10,10,10,8,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,15,15,15,15,15,15,15,8,15,15,8,8,49,49,4,26,26,8,8,8,8,8,8,8,8,8
16,2109.0,1,1,3,1,1,1,1,0,0,0,0,0,9,13,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,37,37,37,37,37,37,37,9,37,37,9,9,52,52,16,57,57,9,9,9,9,66,66,66,66,66
17,2112.0,1,1,3,3,2,3,3,3,3,9,3,12,1,12,12,12,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,39,39,39,39,39,34,34,34,34,34,34,34,39,34,34,39,39,53,53,27,50,50,39,39,39,39,39,39,39,39,39
18,2126.0,1,1,3,3,2,3,3,3,3,3,9,9,5,9,9,9,9,9,9,9,9,9,9,9,9,26,26,26,26,26,26,26,26,34,35,35,35,35,35,24,24,42,42,42,27,27,27,27,27,27,27,42,27,27,42,42,46,46,31,38,38,42,42,42,42,42,42,42,42,42
19,2130.0,0,2,2,2,3,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,16,16,16,16,13,13,13,13,13,13,13,16,13,13,16,16,42,42,8,55,55,16,16,16,16,16,16,16,16,16
20,2135.0,1,0,1,0,5,0,7,8,8,8,8,8,4,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,44,44,44,44,44,44,44,23,44,44,23,23,54,54,54,39,39,23,23,23,23,23,23,23,23,23
21,2139.0,1,1,3,3,2,3,3,3,9,1,1,1,0,1,1,1,1,1,19,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,37,37,37,37,12,12,12,12,12,12,51,37,51,51,37,37,30,30,57,20,20,37,37,37,37,37,37,37,37,37
22,2143.0,1,0,0,4,0,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,19,19,19,19,19,19,19,3,19,19,3,3,2,2,7,41,41,3,3,3,3,3,3,3,3,3
23,2150.0,1,1,3,1,1,1,1,0,0,0,0,0,11,13,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,9,9,9,9,9,37,37,37,37,37,37,37,9,37,37,9,9,52,52,16,57,57,9,9,9,9,9,9,9,9,9
24,2152.0,1,0,1,0,5,0,7,8,8,8,8,8,4,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,44,46,46,46,46,46,46,36,46,46,36,36,50,50,1,29,29,36,36,36,36,36,36,36,36,36
25,2159.0,1,1,3,3,2,3,3,3,3,3,9,9,5,9,9,9,9,12,17,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,32,32,32,32,32,32,32,1,32,32,1,1,55,58,12,45,45,1,1,1,65,65,65,65,69,69
26,2161.0,1,1,3,1,1,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,20,20,20,31,31,31,31,31,31,31,20,31,31,20,20,5,5,9,25,25,58,58,58,58,58,58,58,58,58
27,2167.0,1,1,3,3,2,3,3,1,1,10,10,10,8,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,15,15,15,15,22,22,22,22,22,22,22,46,22,22,46,46,16,16,2,24,61,46,46,46,46,46,46,46,46,46
28,2170.0,1,1,1,1,5,0,0,7,7,7,7,7,12,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,4,4,4,29,29,29,29,29,29,29,4,29,29,4,4,4,4,18,33,33,4,4,4,4,4,4,4,4,4
29,2174.0,1,0,0,4,0,4,6,6,6,6,6,6,13,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,21,21,21,21,35,35,35,35,35,35,35,21,35,35,21,21,43,43,44,60,60,21,21,21,21,21,21,21,21,21
30,2179.0,1,1,3,3,2,3,3,3,9,1,1,1,0,1,1,1,1,1,1,20,4,4,4,4,4,4,4,4,4,4,4,4,33,33,33,33,33,33,33,37,37,37,37,37,12,12,12,12,12,12,12,37,12,12,37,37,30,30,48,20,20,37,37,37,37,37,37,37,37,37
31,2181.0,1,1,3,1,1,1,1,0,0,0,0,0,11,13,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,9,9,9,9,9,9,9,11,9,9,11,11,34,34,50,13,13,11,11,11,11,11,11,11,11,11
32,2210.0,1,1,3,1,1,1,1,0,0,0,0,0,11,13,13,13,13,13,13,13,15,15,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,38,38,38,38,38,38,38,32,38,38,32,32,38,38,29,56,56,32,32,32,32,32,32,32,32,32
33,2232.0,1,1,3,3,2,3,3,3,3,3,9,9,5,9,9,9,9,12,12,12,9,9,9,9,9,9,9,9,9,9,9,32,32,32,32,32,32,32,32,5,5,5,5,5,20,20,47,47,47,50,50,5,50,50,5,5,14,14,25,21,21,5,5,5,5,5,5,5,5,5
34,2243.0,1,1,1,1,5,0,0,7,7,7,7,7,12,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,29,29,29,48,48,48,48,2,48,48,2,2,8,8,45,7,7,2,2,2,2,2,2,2,2,2
35,2256.0,1,1,3,3,2,3,3,3,9,1,1,1,0,1,1,1,12,18,18,18,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,43,43,8,8,8,8,8,8,8,43,8,8,54,54,15,15,14,35,35,54,54,54,54,54,54,54,54,54
36,2265.0,1,1,3,1,1,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,33,33,33,33,33,42,42,42,42,42,42,42,33,42,42,33,33,11,11,46,59,59,33,33,33,33,33,33,33,33,33
37,2269.0,1,1,3,3,2,3,3,1,9,1,1,1,0,1,1,1,1,1,19,19,10,10,10,10,10,10,27,27,27,27,27,27,27,27,27,27,27,38,38,0,0,0,0,0,6,6,6,6,6,6,6,0,6,6,53,53,45,45,15,22,22,53,53,64,64,64,64,64,64,64
38,2276.0,1,1,3,3,2,3,3,3,3,9,9,9,5,9,12,12,9,12,12,12,9,9,9,9,9,9,9,9,9,9,9,32,32,32,32,32,32,32,32,34,34,34,34,34,20,20,20,20,20,20,20,34,20,20,34,34,35,35,24,12,12,34,34,34,34,34,34,34,34,34
39,2282.0,1,1,3,3,2,3,3,1,1,10,10,10,8,10,10,10,10,10,10,10,5,5,5,5,5,5,5,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,15,15,15,15,15,15,15,29,15,15,29,29,48,48,40,10,10,29,29,29,29,29,29,29,29,29
40,2288.0,1,0,0,4,0,4,4,4,4,4,4,4,13,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,43,43,43,43,43,43,43,13,43,43,13,13,13,13,10,4,4,13,13,13,13,13,13,13,13,13
41,2307.0,1,1,3,3,2,3,3,3,9,9,3,12,1,12,12,12,17,17,18,18,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,37,37,37,38,38,38,38,38,33,33,33,33,33,33,33,38,33,33,38,38,12,12,53,36,36,38,38,38,38,38,38,38,38,38
