,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,0,0,1,2,1,4,4,1,4,3,3,4,4,4,4,15,6,6,17,6,6,15,15,15,15,15,15,15,28,28,15,15,15,15,18,18,18,18,18,18,18,18,18,18,28,28,47,47,47,47,47,47,51,44,44,51,27,27,27,27,27,27,19,19,27,27,18,18,30,19
1,2016.0,1,2,2,4,2,2,2,7,2,7,7,7,7,7,7,7,1,1,7,1,1,7,14,14,14,6,7,7,6,6,7,7,7,7,17,36,36,36,36,40,40,40,40,40,23,23,23,23,23,23,23,23,23,6,6,23,57,57,57,57,57,57,2,2,57,57,62,62,20,2
2,2018.0,1,2,2,4,2,2,2,7,2,7,7,2,2,2,2,14,7,7,2,7,7,14,14,14,14,14,7,7,14,14,7,7,7,7,17,17,17,17,17,17,17,17,17,17,26,26,26,26,26,26,26,26,34,37,14,34,57,57,57,57,57,18,59,59,18,18,17,17,53,59
3,2019.0,0,0,3,0,3,4,4,1,4,3,3,10,10,4,4,15,16,16,17,16,16,16,16,16,16,16,15,15,16,16,15,15,15,15,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,16,16,16,16,5,5,5,5,5,5,12,12,5,5,48,48,22,68
4,2029.0,1,2,2,4,2,2,2,7,2,7,7,2,2,2,2,14,1,1,2,1,1,14,14,14,14,14,7,7,14,14,7,7,7,7,17,17,17,17,17,40,40,40,40,40,23,23,23,23,23,23,23,23,22,37,37,22,57,57,57,57,57,57,49,49,57,57,40,40,47,49
5,2030.0,1,2,2,3,5,1,1,2,7,2,2,1,1,1,1,8,12,12,1,12,12,8,8,8,8,26,17,17,29,29,17,17,17,17,23,23,23,23,23,23,23,23,23,23,40,40,40,40,49,50,50,50,30,29,29,54,51,51,51,51,51,51,0,0,51,51,61,61,3,0
6,2033.0,0,0,3,0,0,3,3,0,3,0,0,11,11,14,14,0,17,17,14,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,20,20,20,25,0,0,25,17,17,17,17,17,17,16,16,64,64,60,60,58,16
7,2034.0,1,2,2,4,2,2,2,4,9,4,4,9,9,9,9,4,0,0,9,0,0,4,23,23,23,23,13,13,23,23,13,13,13,13,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,0,53,53,0,49,49,49,49,49,49,27,27,49,49,53,53,65,27
8,2044.0,1,2,2,4,2,2,2,4,9,4,4,9,9,9,9,14,0,0,9,19,19,14,23,23,23,23,13,13,23,23,13,13,13,13,16,16,16,16,16,16,16,16,16,16,9,9,9,9,9,9,9,9,19,53,53,19,47,47,47,47,47,47,31,31,47,47,53,53,67,31
9,2056.0,0,0,3,0,1,4,4,0,4,3,3,4,4,4,4,15,16,16,17,20,20,15,15,15,15,15,3,3,15,15,3,3,3,3,12,12,12,12,12,12,12,12,12,12,29,29,29,29,29,29,29,29,38,15,15,38,52,52,52,52,52,52,57,57,52,52,12,12,32,57
10,2070.0,1,1,0,1,4,6,6,8,6,9,9,3,3,3,3,10,13,13,18,13,13,19,19,19,19,19,21,21,19,19,21,21,21,21,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,36,19,19,36,19,19,19,19,19,19,47,47,19,19,57,57,21,47
11,2084.0,0,0,1,2,1,4,4,1,4,3,3,4,4,4,4,15,6,18,17,20,20,15,15,15,15,15,20,20,28,28,31,31,31,31,26,26,26,26,26,26,26,26,26,26,29,29,29,29,29,29,29,29,20,48,48,20,25,25,25,25,25,25,15,15,25,25,26,26,11,15
12,2085.0,1,2,2,3,5,1,1,2,7,2,2,1,1,1,1,6,5,5,1,5,5,6,6,6,6,8,17,28,8,8,28,28,28,28,21,21,21,21,21,21,21,21,21,21,43,43,43,43,43,43,43,43,44,8,8,44,4,4,4,4,4,4,46,46,4,4,59,59,7,46
13,2091.0,1,2,2,4,2,2,7,7,2,7,7,7,7,7,7,7,1,1,7,1,1,7,7,7,7,6,7,7,6,6,30,30,30,30,7,36,36,36,36,7,7,7,7,7,37,37,37,37,37,37,37,37,23,51,51,23,3,3,3,3,3,3,20,20,3,3,7,7,20,20
14,2104.0,1,2,2,3,5,1,1,2,7,2,2,1,1,1,1,8,12,12,1,12,12,8,8,8,8,26,17,17,29,29,17,17,17,17,23,23,23,23,23,23,23,23,23,23,40,40,40,40,40,40,40,40,30,42,42,30,24,24,24,24,24,24,11,11,24,24,55,55,6,11
15,2106.0,1,2,2,3,5,1,1,2,7,2,2,1,1,1,1,8,12,12,1,12,12,8,8,8,8,26,17,17,29,29,17,17,17,17,23,23,23,23,23,23,23,42,42,42,40,46,46,46,49,49,49,49,31,29,29,54,1,1,1,1,1,1,5,5,1,1,8,8,62,5
16,2109.0,0,0,3,0,3,4,4,0,4,3,3,10,10,10,10,15,16,16,17,16,16,16,16,16,16,16,3,3,16,16,3,3,3,3,15,15,15,15,15,15,15,15,15,15,31,31,31,31,31,31,31,52,16,16,16,16,5,5,5,5,5,5,12,12,5,5,66,66,52,12
17,2112.0,0,1,0,1,0,3,3,8,6,9,9,3,3,3,3,10,14,14,3,14,14,10,10,10,10,10,9,9,10,10,9,9,9,9,29,29,29,29,39,39,39,39,39,39,33,33,33,33,33,33,51,51,27,50,50,27,15,15,15,15,15,15,14,14,15,15,39,39,57,14
18,2126.0,1,2,2,3,5,1,1,2,7,2,2,1,1,1,1,8,12,12,1,12,12,8,8,8,8,26,17,17,29,29,17,17,17,17,23,23,23,23,23,23,23,42,42,42,40,46,46,46,46,46,46,46,31,38,38,54,9,9,9,9,9,9,35,35,9,9,42,42,10,35
19,2130.0,1,2,2,4,2,2,2,7,2,7,7,2,2,2,2,14,8,8,2,8,8,14,14,14,14,14,13,13,14,14,13,13,13,13,16,16,16,16,16,16,16,16,16,16,42,42,42,42,42,42,42,42,8,14,55,8,37,37,37,37,37,37,21,21,37,37,16,16,29,21
20,2135.0,1,2,2,3,5,1,1,2,7,2,2,1,1,1,1,8,5,12,1,12,12,8,8,8,8,8,17,17,29,29,17,17,17,17,23,23,23,23,23,23,23,23,23,23,40,46,46,46,46,50,50,50,30,39,39,54,46,46,46,46,46,46,0,0,46,46,23,23,55,66
21,2139.0,1,2,2,3,5,1,1,5,1,5,5,12,12,12,12,8,12,11,19,11,11,8,8,8,8,26,5,5,26,26,5,5,5,5,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,31,54,54,31,43,43,43,43,43,43,4,4,43,43,45,45,24,4
22,2143.0,1,2,2,4,2,2,2,7,2,7,7,2,2,2,2,14,7,7,2,7,7,14,14,14,14,14,7,7,14,14,7,7,7,7,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,7,41,41,7,0,0,0,0,0,0,7,7,0,0,3,3,64,7
23,2150.0,0,0,0,0,0,3,3,8,3,0,0,3,3,14,14,10,17,17,14,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,20,20,20,27,0,0,27,17,17,17,17,17,17,62,62,17,17,9,9,49,62
24,2152.0,1,2,2,4,2,2,2,7,2,7,7,7,7,7,7,7,1,1,7,1,1,7,7,7,7,6,7,7,6,6,30,30,30,30,17,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,1,6,6,1,3,3,3,3,3,3,36,36,3,3,36,36,48,36
25,2159.0,1,2,2,3,5,1,1,2,7,2,2,1,1,1,1,11,5,12,1,12,12,11,11,11,11,11,2,2,29,29,2,2,2,2,11,11,11,11,11,11,11,11,11,11,38,38,38,38,38,38,38,38,12,45,45,12,11,11,11,11,11,11,52,52,11,11,11,11,61,52
26,2161.0,0,0,3,0,3,5,5,3,5,10,10,5,5,5,5,16,9,9,5,9,9,22,22,22,25,25,27,27,25,25,27,27,27,27,30,30,30,30,30,30,30,30,30,30,5,5,5,5,5,5,5,5,9,25,25,9,56,56,56,56,56,56,63,63,56,56,58,58,16,63
