,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,1,1,3,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,23,23,23,23,19,18,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,27,18,18,18,18,18,51,51,51,51,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,30
1,2016.0,0,0,2,4,0,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,5,5,5,5,2,23,2,2,2,2,2,23,23,23,23,34,23,23,23,23,23,23,0,23,23,23,23,23,23,23,23,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20
2,2018.0,0,0,2,4,0,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,21,21,21,21,8,1,8,8,8,8,8,1,34,34,34,2,34,34,34,34,34,34,18,34,34,34,34,34,34,34,34,34,36,36,36,36,59,59,59,59,59,59,59,59,59,59,59,53
3,2019.0,1,1,3,1,4,1,1,0,0,0,0,0,0,0,0,0,17,17,17,17,17,12,23,23,23,26,17,6,17,17,17,17,17,6,6,6,6,20,6,6,6,6,6,6,45,6,6,6,6,6,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17,68,68,22
4,2029.0,0,0,2,4,0,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,5,5,5,5,0,22,0,0,0,0,0,22,22,22,22,7,22,22,22,22,22,22,18,22,22,22,22,22,22,22,22,22,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,47
5,2030.0,0,0,2,4,0,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,7,7,7,7,0,1,0,0,0,0,0,30,30,30,30,7,30,30,30,30,30,30,24,30,30,30,30,30,30,30,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
6,2033.0,1,1,3,3,4,3,1,0,0,10,11,11,11,14,14,14,17,17,17,20,20,12,10,10,10,10,16,25,16,16,16,16,16,25,25,25,25,3,38,38,38,38,38,38,17,38,38,38,38,38,38,38,38,38,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,58
7,2034.0,1,2,0,0,1,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,11,9,24,24,24,27,0,27,27,27,27,27,0,0,0,0,15,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,65
8,2044.0,1,2,0,0,2,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,12,12,12,12,1,19,1,1,31,31,31,19,19,19,19,27,19,19,19,19,19,19,36,19,19,19,19,19,19,19,19,19,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,67
9,2056.0,1,1,3,3,4,1,1,0,0,0,11,11,11,11,11,11,17,17,17,17,17,12,10,10,10,10,16,6,16,16,16,16,16,6,6,6,6,30,38,38,38,38,38,38,45,38,38,38,38,38,38,38,38,38,16,16,57,57,57,57,57,57,57,57,57,57,57,57,57,32
